op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
38,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,add_,"[[B*k, 2*d_moe], [B*k, 2*d_moe]]",,,"[[B*k, 2*d_moe]]","[35, 37]",1,mlp,experts,2,model.layers.1.mlp.experts,aten.add_.Tensor,[],decode,True,
39,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,elementwise_mul,"[[B*k, d_moe]]",,,"[[B*k, d_moe]]",[38],1,mlp,experts,2,model.layers.1.mlp.experts,aten.mul.Tensor,[],decode,False,
40,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,sigmoid,"[[B*k, d_moe]]",,,"[[B*k, d_moe]]",[39],1,mlp,experts,2,model.layers.1.mlp.experts,aten.sigmoid.default,[],decode,False,
41,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,elementwise_mul,"[[B*k, d_moe], [B*k, d_moe]]",,,"[[B*k, d_moe]]","[38, 40]",1,mlp,experts,2,model.layers.1.mlp.experts,aten.mul.Tensor,[],decode,False,
42,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,elementwise_add,"[[B*k, d_moe]]",,,"[[B*k, d_moe]]",[38],1,mlp,experts,2,model.layers.1.mlp.experts,aten.add.Tensor,[],decode,False,
43,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,elementwise_mul,"[[B*k, d_moe], [B*k, d_moe]]",,,"[[B*k, d_moe]]","[41, 42]",1,mlp,experts,2,model.layers.1.mlp.experts,aten.mul.Tensor,[],decode,False,
44,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,grouped_matmul,"[[B*k, d_moe], [E, d_moe, d_model], [E]]","[E, d_moe, d_model]",1,"[[B*k, d_model]]","[35, 43]",1,mlp,experts,2,model.layers.1.mlp.experts,aten._grouped_mm.default,[model.layers.1.mlp.experts.down_proj],decode,False,
45,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,add_,"[[B*k, d_model], [B*k, d_model]]",,,"[[B*k, d_model]]","[35, 44]",1,mlp,experts,2,model.layers.1.mlp.experts,aten.add_.Tensor,[],decode,True,
46,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,elementwise_mul,"[[B*k, d_model], [B*k, 1]]",,,"[[B*k, d_model]]","[35, 36, 45]",1,mlp,experts,2,model.layers.1.mlp.experts,aten.mul.Tensor,[],decode,False,
47,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",mlp,experts,sum,"[[B, k, d_model]]",,,"[[B, d_model]]","[35, 46]",1,mlp,experts,2,model.layers.1.mlp.experts,aten.sum.dim_IntList,[],decode,True,
48,attn+MoE,18,"1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35",,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[33, 47]",1,,,0,model.layers.1,aten.add.Tensor,[],decode,False,
49,norm,1,,model,norm,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[48],,other,,2,model.norm,_to_copy+pow+mean+add+rsqrt+mul+mul+_to_copy,[model.norm.weight],decode,False,
50,head,1,,lm_head,,matmul,"[[B, d_model], [d_model, V]]","[V, d_model]",1,"[[B, V]]",[49],,other,,1,lm_head,aten.mm.default,[lm_head.weight],decode,False,
