op_id,block_type,repeat,layers,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
10,MLA+MoE,2,0-1,self_attn,q_a_norm,,,,rmsnorm,"[[B, T, c_q]]",[c_q],"[[B, T, c_q]]",[9],0,self_attn,q_a_norm,2,model.layers.0.self_attn.q_a_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.q_a_norm.weight],prefill,False
11,MLA+MoE,2,0-1,self_attn,q_b_proj,,,,matmul,"[[T, c_q], [c_q, n_h*d_head]]","[n_h*d_head, c_q]","[[T, n_h*d_head]]",[10],0,self_attn,q_b_proj,2,model.layers.0.self_attn.q_b_proj,aten.mm.default,[model.layers.0.self_attn.q_b_proj.weight],prefill,False
12,MLA+MoE,2,0-1,self_attn,q_b_norm,,,,rmsnorm,"[[B, n_h, T, d_head]]",,"[[B, n_h, T, d_head]]",[11],0,self_attn,q_b_norm,2,model.layers.0.self_attn.q_b_norm,_to_copy+pow+mean+add+rsqrt+_to_copy+mul,[],prefill,False
13,MLA+MoE,2,0-1,self_attn,kv_proj,,,,matmul,"[[T, d_model], [d_model, d_head]]","[d_head, d_model]","[[T, d_head]]",[8],0,self_attn,kv_proj,2,model.layers.0.self_attn.kv_proj,aten.mm.default,[model.layers.0.self_attn.kv_proj.weight],prefill,False
14,MLA+MoE,2,0-1,self_attn,kv_norm,,,,rmsnorm,"[[B, T, d_head]]",[d_head],"[[B, T, d_head]]",[13],0,self_attn,kv_norm,2,model.layers.0.self_attn.kv_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.kv_norm.weight],prefill,False
15,MLA+MoE,2,0-1,self_attn,compressor,kv_proj,,,matmul,"[[T, d_model], [d_model, d_head]]","[d_head, d_model]","[[T, d_head]]",[8],0,self_attn,compressor,3,model.layers.0.self_attn.compressor.kv_proj,aten.mm.default,[model.layers.0.self_attn.compressor.kv_proj.weight],prefill,False
16,MLA+MoE,2,0-1,self_attn,compressor,gate_proj,,,matmul,"[[T, d_model], [d_model, d_head]]","[d_head, d_model]","[[T, d_head]]",[8],0,self_attn,compressor,3,model.layers.0.self_attn.compressor.gate_proj,aten.mm.default,[model.layers.0.self_attn.compressor.gate_proj.weight],prefill,False
17,MLA+MoE,2,0-1,self_attn,compressor,,,,softmax,"[[B, T/m_hca, m_hca, d_head]]",,"[[B, T/m_hca, m_hca, d_head]]",[16],0,self_attn,compressor,2,model.layers.0.self_attn.compressor,aten._softmax.default,[],prefill,False
18,MLA+MoE,2,0-1,self_attn,compressor,kv_norm,,,rmsnorm,"[[B, T/m_hca, d_head]]",[d_head],"[[B, T/m_hca, d_head]]","[15, 17]",0,self_attn,compressor,3,model.layers.0.self_attn.compressor.kv_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.self_attn.compressor.kv_norm.weight],prefill,False
19,MLA+MoE,2,0-1,self_attn,,,,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T+T/m_hca]]",,"[[n_h, T, T+T/m_hca]]","[12, 14, 18]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
20,MLA+MoE,2,0-1,self_attn,,,,,softmax,"[[B, n_h, T, T+T/m_hca+1]]",,"[[B, n_h, T, T+T/m_hca+1]]","[18, 19]",0,self_attn,,1,model.layers.0.self_attn,aten._softmax.default,[],prefill,False
21,MLA+MoE,2,0-1,self_attn,,,,,batched_matmul,"[[n_h, T, T+T/m_hca], [n_h, T+T/m_hca, d_head]]",,"[[n_h, T, d_head]]","[14, 18, 20]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
22,MLA+MoE,2,0-1,self_attn,o_a_proj,,,,batched_matmul,"[[g_o, T, n_h*d_head/g_o], [g_o, n_h*d_head/g_o, d_g]]","[g_o*d_g, n_h*d_head/g_o]","[[g_o, T, d_g]]",[21],0,self_attn,o_a_proj,2,model.layers.0.self_attn.o_a_proj,aten.bmm.default,[model.layers.0.self_attn.o_a_proj.weight],prefill,False
23,MLA+MoE,2,0-1,self_attn,o_b_proj,,,,matmul,"[[T, g_o*d_g], [g_o*d_g, d_model]]","[d_model, g_o*d_g]","[[T, d_model]]",[22],0,self_attn,o_b_proj,2,model.layers.0.self_attn.o_b_proj,aten.mm.default,[model.layers.0.self_attn.o_b_proj.weight],prefill,False
24,MLA+MoE,2,0-1,,,,,,elementwise_mul,"[[B, T, n_hc, B], [B, T, B, d_model]]",,"[[B, T, n_hc, d_model]]","[4, 23]",0,,,0,model.layers.0,aten.mul.Tensor,[],prefill,False
25,MLA+MoE,2,0-1,,,,,,batched_matmul,"[[T, n_hc, n_hc], [T, n_hc, d_model]]",,"[[T, n_hc, d_model]]","[0, 5]",0,,,0,model.layers.0,aten.bmm.default,[],prefill,False
26,MLA+MoE,2,0-1,,,,,,elementwise_add,"[[B, T, n_hc, d_model], [B, T, n_hc, d_model]]",,"[[B, T, n_hc, d_model]]","[24, 25]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
27,MLA+MoE,2,0-1,ffn_hc,input_norm,,,,rmsnorm,"[[B, T, n_hc*d_model]]",,"[[B, T, n_hc*d_model]]",[26],0,ffn_hc,input_norm,2,model.layers.0.ffn_hc.input_norm,pow+mean+add+rsqrt+mul,[],prefill,False
28,MLA+MoE,2,0-1,ffn_hc,,,,,matmul,"[[T, n_hc*d_model], [n_hc*d_model, (2+n_hc)*n_hc]]","[(2+n_hc)*n_hc, n_hc*d_model]","[[T, (2+n_hc)*n_hc]]",[27],0,ffn_hc,,1,model.layers.0.ffn_hc,aten.mm.default,[model.layers.0.ffn_hc.fn],prefill,False
29,MLA+MoE,2,0-1,ffn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,"[[B, T, n_hc]]",[28],0,ffn_hc,,1,model.layers.0.ffn_hc,aten.sigmoid.default,[],prefill,False
30,MLA+MoE,2,0-1,ffn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,"[[B, T, n_hc]]",[28],0,ffn_hc,,1,model.layers.0.ffn_hc,aten.sigmoid.default,[],prefill,False
31,MLA+MoE,2,0-1,ffn_hc,,,,,softmax,"[[B, T, n_hc, n_hc]]",,"[[B, T, n_hc, n_hc]]",[28],0,ffn_hc,,1,model.layers.0.ffn_hc,aten._softmax.default,[],prefill,False
32,MLA+MoE,2,0-1,ffn_hc,,,,,elementwise_mul,"[[B, T, n_hc, B], [B, T, n_hc, d_model]]",,"[[B, T, n_hc, d_model]]","[26, 29]",0,ffn_hc,,1,model.layers.0.ffn_hc,aten.mul.Tensor,[],prefill,False
33,MLA+MoE,2,0-1,ffn_hc,,,,,sum,"[[B, T, n_hc, d_model]]",,"[[B, T, d_model]]",[32],0,ffn_hc,,1,model.layers.0.ffn_hc,aten.sum.dim_IntList,[],prefill,True
34,MLA+MoE,2,0-1,post_attention_layernorm,,,,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[33],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],prefill,False
35,MLA+MoE,2,0-1,mlp,gate,,,,matmul,"[[T, d_model], [d_model, E]]","[E, d_model]","[[T, E]]",[34],0,mlp,gate,2,model.layers.0.mlp.gate,aten.mm.default,[model.layers.0.mlp.gate.weight],prefill,False
36,MLA+MoE,2,0-1,mlp,experts,,,,grouped_matmul,"[[4*d_moe, d_model], [E, d_model, 2*d_moe], [E]]","[E, 2*d_moe, d_model]","[[4*d_moe, 2*d_moe]]",[34],0,mlp,experts,2,model.layers.0.mlp.experts,aten._grouped_mm.default,[model.layers.0.mlp.experts.gate_up_proj],prefill,False
37,MLA+MoE,2,0-1,mlp,experts,act_fn,,,silu,"[[4*d_moe, d_moe]]",,"[[4*d_moe, d_moe]]",[36],0,mlp,experts,3,model.layers.0.mlp.experts.act_fn,aten.silu.default,[],prefill,False
38,MLA+MoE,2,0-1,mlp,experts,,,,elementwise_mul,"[[4*d_moe, d_moe], [4*d_moe, d_moe]]",,"[[4*d_moe, d_moe]]","[36, 37]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],prefill,False
39,MLA+MoE,2,0-1,mlp,experts,,,,grouped_matmul,"[[4*d_moe, d_moe], [E, d_moe, d_model], [E]]","[E, d_model, d_moe]","[[4*d_moe, d_model]]",[38],0,mlp,experts,2,model.layers.0.mlp.experts,aten._grouped_mm.default,[model.layers.0.mlp.experts.down_proj],prefill,False
40,MLA+MoE,2,0-1,mlp,experts,,,,elementwise_mul,"[[4*d_moe, d_model], [4*d_moe, B]]",,"[[4*d_moe, d_model]]","[35, 39]",0,mlp,experts,2,model.layers.0.mlp.experts,aten.mul.Tensor,[],prefill,False
41,MLA+MoE,2,0-1,mlp,experts,,,,sum,"[[T, k, d_model]]",,"[[T, d_model]]",[40],0,mlp,experts,2,model.layers.0.mlp.experts,aten.sum.dim_IntList,[],prefill,True
42,MLA+MoE,2,0-1,mlp,shared_experts,gate_proj,,,matmul,"[[T, d_model], [d_model, d_moe]]","[d_moe, d_model]","[[T, d_moe]]",[34],0,mlp,shared_experts,3,model.layers.0.mlp.shared_experts.gate_proj,aten.mm.default,[model.layers.0.mlp.shared_experts.gate_proj.weight],prefill,False
43,MLA+MoE,2,0-1,mlp,shared_experts,up_proj,,,matmul,"[[T, d_model], [d_model, d_moe]]","[d_moe, d_model]","[[T, d_moe]]",[34],0,mlp,shared_experts,3,model.layers.0.mlp.shared_experts.up_proj,aten.mm.default,[model.layers.0.mlp.shared_experts.up_proj.weight],prefill,False
44,MLA+MoE,2,0-1,mlp,shared_experts,act_fn,,,silu,"[[B, T, d_moe]]",,"[[B, T, d_moe]]",[42],0,mlp,shared_experts,3,model.layers.0.mlp.shared_experts.act_fn,aten.silu.default,[],prefill,False
45,MLA+MoE,2,0-1,mlp,shared_experts,,,,elementwise_mul,"[[B, T, d_moe], [B, T, d_moe]]",,"[[B, T, d_moe]]","[43, 44]",0,mlp,shared_experts,2,model.layers.0.mlp.shared_experts,aten.mul.Tensor,[],prefill,False
46,MLA+MoE,2,0-1,mlp,shared_experts,down_proj,,,matmul,"[[T, d_moe], [d_moe, d_model]]","[d_model, d_moe]","[[T, d_model]]",[45],0,mlp,shared_experts,3,model.layers.0.mlp.shared_experts.down_proj,aten.mm.default,[model.layers.0.mlp.shared_experts.down_proj.weight],prefill,False
47,MLA+MoE,2,0-1,mlp,,,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[41, 46]",0,mlp,,1,model.layers.0.mlp,aten.add.Tensor,[],prefill,False
48,MLA+MoE,2,0-1,,,,,,elementwise_mul,"[[B, T, n_hc, B], [B, T, B, d_model]]",,"[[B, T, n_hc, d_model]]","[30, 47]",0,,,0,model.layers.0,aten.mul.Tensor,[],prefill,False
49,MLA+MoE,2,0-1,,,,,,batched_matmul,"[[T, n_hc, n_hc], [T, n_hc, d_model]]",,"[[T, n_hc, d_model]]","[26, 31]",0,,,0,model.layers.0,aten.bmm.default,[],prefill,False
50,MLA+MoE,2,0-1,,,,,,elementwise_add,"[[B, T, n_hc, d_model], [B, T, n_hc, d_model]]",,"[[B, T, n_hc, d_model]]","[48, 49]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
51,MLA+MoE,1,2,attn_hc,input_norm,,,,rmsnorm,"[[B, T, n_hc*d_model]]",,"[[B, T, n_hc*d_model]]",[50],2,attn_hc,input_norm,2,model.layers.2.attn_hc.input_norm,pow+mean+add+rsqrt+mul,[],prefill,False
52,MLA+MoE,1,2,attn_hc,,,,,matmul,"[[T, n_hc*d_model], [n_hc*d_model, (2+n_hc)*n_hc]]","[(2+n_hc)*n_hc, n_hc*d_model]","[[T, (2+n_hc)*n_hc]]",[51],2,attn_hc,,1,model.layers.2.attn_hc,aten.mm.default,[model.layers.2.attn_hc.fn],prefill,False
53,MLA+MoE,1,2,attn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,"[[B, T, n_hc]]",[52],2,attn_hc,,1,model.layers.2.attn_hc,aten.sigmoid.default,[],prefill,False
54,MLA+MoE,1,2,attn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,"[[B, T, n_hc]]",[52],2,attn_hc,,1,model.layers.2.attn_hc,aten.sigmoid.default,[],prefill,False
55,MLA+MoE,1,2,attn_hc,,,,,softmax,"[[B, T, n_hc, n_hc]]",,"[[B, T, n_hc, n_hc]]",[52],2,attn_hc,,1,model.layers.2.attn_hc,aten._softmax.default,[],prefill,False
56,MLA+MoE,1,2,attn_hc,,,,,elementwise_mul,"[[B, T, n_hc, B], [B, T, n_hc, d_model]]",,"[[B, T, n_hc, d_model]]","[50, 53]",2,attn_hc,,1,model.layers.2.attn_hc,aten.mul.Tensor,[],prefill,False
57,MLA+MoE,1,2,attn_hc,,,,,sum,"[[B, T, n_hc, d_model]]",,"[[B, T, d_model]]",[56],2,attn_hc,,1,model.layers.2.attn_hc,aten.sum.dim_IntList,[],prefill,True
58,MLA+MoE,1,2,input_layernorm,,,,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[57],2,input_layernorm,,1,model.layers.2.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.2.input_layernorm.weight],prefill,False
59,MLA+MoE,1,2,self_attn,q_a_proj,,,,matmul,"[[T, d_model], [d_model, c_q]]","[c_q, d_model]","[[T, c_q]]",[58],2,self_attn,q_a_proj,2,model.layers.2.self_attn.q_a_proj,aten.mm.default,[model.layers.2.self_attn.q_a_proj.weight],prefill,False
60,MLA+MoE,1,2,self_attn,q_a_norm,,,,rmsnorm,"[[B, T, c_q]]",[c_q],"[[B, T, c_q]]",[59],2,self_attn,q_a_norm,2,model.layers.2.self_attn.q_a_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.2.self_attn.q_a_norm.weight],prefill,False
61,MLA+MoE,1,2,self_attn,q_b_proj,,,,matmul,"[[T, c_q], [c_q, n_h*d_head]]","[n_h*d_head, c_q]","[[T, n_h*d_head]]",[60],2,self_attn,q_b_proj,2,model.layers.2.self_attn.q_b_proj,aten.mm.default,[model.layers.2.self_attn.q_b_proj.weight],prefill,False
62,MLA+MoE,1,2,self_attn,q_b_norm,,,,rmsnorm,"[[B, n_h, T, d_head]]",,"[[B, n_h, T, d_head]]",[61],2,self_attn,q_b_norm,2,model.layers.2.self_attn.q_b_norm,_to_copy+pow+mean+add+rsqrt+_to_copy+mul,[],prefill,False
63,MLA+MoE,1,2,self_attn,kv_proj,,,,matmul,"[[T, d_model], [d_model, d_head]]","[d_head, d_model]","[[T, d_head]]",[58],2,self_attn,kv_proj,2,model.layers.2.self_attn.kv_proj,aten.mm.default,[model.layers.2.self_attn.kv_proj.weight],prefill,False
64,MLA+MoE,1,2,self_attn,kv_norm,,,,rmsnorm,"[[B, T, d_head]]",[d_head],"[[B, T, d_head]]",[63],2,self_attn,kv_norm,2,model.layers.2.self_attn.kv_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.2.self_attn.kv_norm.weight],prefill,False
65,MLA+MoE,1,2,self_attn,compressor,kv_proj,,,matmul,"[[T, d_model], [d_model, 2*n_kv*d_head]]","[2*n_kv*d_head, d_model]","[[T, 2*n_kv*d_head]]",[58],2,self_attn,compressor,3,model.layers.2.self_attn.compressor.kv_proj,aten.mm.default,[model.layers.2.self_attn.compressor.kv_proj.weight],prefill,False
66,MLA+MoE,1,2,self_attn,compressor,gate_proj,,,matmul,"[[T, d_model], [d_model, 2*n_kv*d_head]]","[2*n_kv*d_head, d_model]","[[T, 2*n_kv*d_head]]",[58],2,self_attn,compressor,3,model.layers.2.self_attn.compressor.gate_proj,aten.mm.default,[model.layers.2.self_attn.compressor.gate_proj.weight],prefill,False
67,MLA+MoE,1,2,self_attn,compressor,,,,softmax,"[[B, d_head, 2*m_csa, T/m_csa]]",,"[[B, d_head, 2*m_csa, T/m_csa]]",[66],2,self_attn,compressor,2,model.layers.2.self_attn.compressor,aten._softmax.default,[],prefill,False
68,MLA+MoE,1,2,self_attn,compressor,kv_norm,,,rmsnorm,"[[B, d_head, T/m_csa]]",[d_head],"[[B, d_head, T/m_csa]]","[65, 67]",2,self_attn,compressor,3,model.layers.2.self_attn.compressor.kv_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.2.self_attn.compressor.kv_norm.weight],prefill,False
69,MLA+MoE,1,2,self_attn,compressor,indexer,kv_proj,,matmul,"[[T, d_model], [d_model, d_head/2]]","[d_head/2, d_model]","[[T, d_head/2]]",[58],2,self_attn,compressor,4,model.layers.2.self_attn.compressor.indexer.kv_proj,aten.mm.default,[model.layers.2.self_attn.compressor.indexer.kv_proj.weight],prefill,False
70,MLA+MoE,1,2,self_attn,compressor,indexer,gate_proj,,matmul,"[[T, d_model], [d_model, d_head/2]]","[d_head/2, d_model]","[[T, d_head/2]]",[58],2,self_attn,compressor,4,model.layers.2.self_attn.compressor.indexer.gate_proj,aten.mm.default,[model.layers.2.self_attn.compressor.indexer.gate_proj.weight],prefill,False
71,MLA+MoE,1,2,self_attn,compressor,indexer,,,softmax,"[[B, d_head, 8, c_I]]",,"[[B, d_head, 8, c_I]]",[70],2,self_attn,compressor,3,model.layers.2.self_attn.compressor.indexer,aten._softmax.default,[],prefill,False
72,MLA+MoE,1,2,self_attn,compressor,indexer,kv_norm,,rmsnorm,"[[B, d_head, c_I]]",[c_I],"[[B, d_head, c_I]]","[69, 71]",2,self_attn,compressor,4,model.layers.2.self_attn.compressor.indexer.kv_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.2.self_attn.compressor.indexer.kv_norm.weight],prefill,False
73,MLA+MoE,1,2,self_attn,compressor,indexer,q_b_proj,,matmul,"[[T, c_q], [c_q, n_h*d_rope]]","[n_h*d_rope, c_q]","[[T, n_h*d_rope]]",[60],2,self_attn,compressor,4,model.layers.2.self_attn.compressor.indexer.q_b_proj,aten.mm.default,[model.layers.2.self_attn.compressor.indexer.q_b_proj.weight],prefill,False
74,MLA+MoE,1,2,self_attn,compressor,indexer,scorer,,batched_matmul,"[[T, d_rope, c_I], [T, c_I, d_head]]",,"[[T, d_rope, d_head]]","[72, 73]",2,self_attn,compressor,4,model.layers.2.self_attn.compressor.indexer.scorer,aten.bmm.default,[],prefill,False
75,MLA+MoE,1,2,self_attn,compressor,indexer,scorer,,relu,"[[B, T, d_rope, d_head]]",,"[[B, T, d_rope, d_head]]",[74],2,self_attn,compressor,4,model.layers.2.self_attn.compressor.indexer.scorer,aten.relu.default,[],prefill,True
76,MLA+MoE,1,2,self_attn,compressor,indexer,scorer,weights_proj,matmul,"[[T, d_model], [d_model, d_rope]]","[d_rope, d_model]","[[T, d_rope]]",[58],2,self_attn,compressor,5,model.layers.2.self_attn.compressor.indexer.scorer.weights_proj,aten.mm.default,[model.layers.2.self_attn.compressor.indexer.scorer.weights_proj.weight],prefill,False
77,MLA+MoE,1,2,self_attn,,,,,batched_matmul,"[[n_h, T, d_head], [n_h, d_head, T+T/m_csa]]",,"[[n_h, T, T+T/m_csa]]","[62, 64, 68]",2,self_attn,,1,model.layers.2.self_attn,aten.bmm.default,[],prefill,False
78,MLA+MoE,1,2,self_attn,,,,,softmax,"[[B, n_h, T, T+T/m_csa+1]]",,"[[B, n_h, T, T+T/m_csa+1]]","[68, 75, 76, 77]",2,self_attn,,1,model.layers.2.self_attn,aten._softmax.default,[],prefill,False
79,MLA+MoE,1,2,self_attn,,,,,batched_matmul,"[[n_h, T, T+T/m_csa], [n_h, T+T/m_csa, d_head]]",,"[[n_h, T, d_head]]","[64, 68, 78]",2,self_attn,,1,model.layers.2.self_attn,aten.bmm.default,[],prefill,False
80,MLA+MoE,1,2,self_attn,o_a_proj,,,,batched_matmul,"[[g_o, T, n_h*d_head/g_o], [g_o, n_h*d_head/g_o, d_g]]","[g_o*d_g, n_h*d_head/g_o]","[[g_o, T, d_g]]",[79],2,self_attn,o_a_proj,2,model.layers.2.self_attn.o_a_proj,aten.bmm.default,[model.layers.2.self_attn.o_a_proj.weight],prefill,False
81,MLA+MoE,1,2,self_attn,o_b_proj,,,,matmul,"[[T, g_o*d_g], [g_o*d_g, d_model]]","[d_model, g_o*d_g]","[[T, d_model]]",[80],2,self_attn,o_b_proj,2,model.layers.2.self_attn.o_b_proj,aten.mm.default,[model.layers.2.self_attn.o_b_proj.weight],prefill,False
82,MLA+MoE,1,2,,,,,,elementwise_mul,"[[B, T, n_hc, B], [B, T, B, d_model]]",,"[[B, T, n_hc, d_model]]","[54, 81]",2,,,0,model.layers.2,aten.mul.Tensor,[],prefill,False
83,MLA+MoE,1,2,,,,,,batched_matmul,"[[T, n_hc, n_hc], [T, n_hc, d_model]]",,"[[T, n_hc, d_model]]","[50, 55]",2,,,0,model.layers.2,aten.bmm.default,[],prefill,False
84,MLA+MoE,1,2,,,,,,elementwise_add,"[[B, T, n_hc, d_model], [B, T, n_hc, d_model]]",,"[[B, T, n_hc, d_model]]","[82, 83]",2,,,0,model.layers.2,aten.add.Tensor,[],prefill,False
85,MLA+MoE,1,2,ffn_hc,input_norm,,,,rmsnorm,"[[B, T, n_hc*d_model]]",,"[[B, T, n_hc*d_model]]",[84],2,ffn_hc,input_norm,2,model.layers.2.ffn_hc.input_norm,pow+mean+add+rsqrt+mul,[],prefill,False
86,MLA+MoE,1,2,ffn_hc,,,,,matmul,"[[T, n_hc*d_model], [n_hc*d_model, (2+n_hc)*n_hc]]","[(2+n_hc)*n_hc, n_hc*d_model]","[[T, (2+n_hc)*n_hc]]",[85],2,ffn_hc,,1,model.layers.2.ffn_hc,aten.mm.default,[model.layers.2.ffn_hc.fn],prefill,False
87,MLA+MoE,1,2,ffn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,"[[B, T, n_hc]]",[86],2,ffn_hc,,1,model.layers.2.ffn_hc,aten.sigmoid.default,[],prefill,False
88,MLA+MoE,1,2,ffn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,"[[B, T, n_hc]]",[86],2,ffn_hc,,1,model.layers.2.ffn_hc,aten.sigmoid.default,[],prefill,False
89,MLA+MoE,1,2,ffn_hc,,,,,softmax,"[[B, T, n_hc, n_hc]]",,"[[B, T, n_hc, n_hc]]",[86],2,ffn_hc,,1,model.layers.2.ffn_hc,aten._softmax.default,[],prefill,False
90,MLA+MoE,1,2,ffn_hc,,,,,elementwise_mul,"[[B, T, n_hc, B], [B, T, n_hc, d_model]]",,"[[B, T, n_hc, d_model]]","[84, 87]",2,ffn_hc,,1,model.layers.2.ffn_hc,aten.mul.Tensor,[],prefill,False
91,MLA+MoE,1,2,ffn_hc,,,,,sum,"[[B, T, n_hc, d_model]]",,"[[B, T, d_model]]",[90],2,ffn_hc,,1,model.layers.2.ffn_hc,aten.sum.dim_IntList,[],prefill,True
92,MLA+MoE,1,2,post_attention_layernorm,,,,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[91],2,post_attention_layernorm,,1,model.layers.2.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.2.post_attention_layernorm.weight],prefill,False
93,MLA+MoE,1,2,mlp,gate,,,,matmul,"[[T, d_model], [d_model, E]]","[E, d_model]","[[T, E]]",[92],2,mlp,gate,2,model.layers.2.mlp.gate,aten.mm.default,[model.layers.2.mlp.gate.weight],prefill,False
94,MLA+MoE,1,2,mlp,experts,,,,grouped_matmul,"[[4*d_moe, d_model], [E, d_model, 2*d_moe], [E]]","[E, 2*d_moe, d_model]","[[4*d_moe, 2*d_moe]]",[92],2,mlp,experts,2,model.layers.2.mlp.experts,aten._grouped_mm.default,[model.layers.2.mlp.experts.gate_up_proj],prefill,False
95,MLA+MoE,1,2,mlp,experts,act_fn,,,silu,"[[4*d_moe, d_moe]]",,"[[4*d_moe, d_moe]]",[94],2,mlp,experts,3,model.layers.2.mlp.experts.act_fn,aten.silu.default,[],prefill,False
96,MLA+MoE,1,2,mlp,experts,,,,elementwise_mul,"[[4*d_moe, d_moe], [4*d_moe, d_moe]]",,"[[4*d_moe, d_moe]]","[94, 95]",2,mlp,experts,2,model.layers.2.mlp.experts,aten.mul.Tensor,[],prefill,False
97,MLA+MoE,1,2,mlp,experts,,,,grouped_matmul,"[[4*d_moe, d_moe], [E, d_moe, d_model], [E]]","[E, d_model, d_moe]","[[4*d_moe, d_model]]",[96],2,mlp,experts,2,model.layers.2.mlp.experts,aten._grouped_mm.default,[model.layers.2.mlp.experts.down_proj],prefill,False
98,MLA+MoE,1,2,mlp,experts,,,,elementwise_mul,"[[4*d_moe, d_model], [4*d_moe, B]]",,"[[4*d_moe, d_model]]","[93, 97]",2,mlp,experts,2,model.layers.2.mlp.experts,aten.mul.Tensor,[],prefill,False
