op_id,block_type,repeat,layers,h1,h2,h3,h4,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
10,attn+FFN,1,0,self_attn,v_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[5],0,self_attn,v_conv1d,3,model.layers.0.self_attn.v_conv1d.conv,aten.convolution.default,[model.layers.0.self_attn.v_conv1d.conv.weight],prefill,False,
11,attn+FFN,1,0,self_attn,v_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[10],0,self_attn,v_conv1d,2,model.layers.0.self_attn.v_conv1d,aten.silu.default,[],prefill,False,
12,attn+FFN,1,0,self_attn,f_a_proj,,,matmul,"[[B*T, d_model], [d_model, d_head_kda]]","[d_head_kda, d_model]",1,"[[B*T, d_head_kda]]",[2],0,self_attn,f_a_proj,2,model.layers.0.self_attn.f_a_proj,aten.mm.default,[model.layers.0.self_attn.f_a_proj.weight],prefill,False,
13,attn+FFN,1,0,self_attn,f_b_proj,,,matmul,"[[B*T, d_head_kda], [d_head_kda, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",1,"[[B*T, n_h_kda*d_head_kda]]",[12],0,self_attn,f_b_proj,2,model.layers.0.self_attn.f_b_proj,aten.mm.default,[model.layers.0.self_attn.f_b_proj.weight],prefill,False,
14,attn+FFN,1,0,self_attn,b_proj,,,matmul,"[[B*T, d_model], [d_model, n_h_kda]]","[n_h_kda, d_model]",1,"[[B*T, n_h_kda]]",[2],0,self_attn,b_proj,2,model.layers.0.self_attn.b_proj,aten.mm.default,[model.layers.0.self_attn.b_proj.weight],prefill,False,
15,attn+FFN,1,0,self_attn,,,,exp,"[[n_h_kda, 1]]",,,"[[n_h_kda, 1]]",[],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[model.layers.0.self_attn.A_log],prefill,False,
16,attn+FFN,1,0,self_attn,,,,sigmoid,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]","[13, 15]",0,self_attn,,1,model.layers.0.self_attn,aten.sigmoid.default,[],prefill,False,
17,attn+FFN,1,0,self_attn,,,,sigmoid,"[[B, T, n_h_kda]]",,,"[[B, T, n_h_kda]]",[14],0,self_attn,,1,model.layers.0.self_attn,aten.sigmoid.default,[],prefill,False,
18,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
19,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 18]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
20,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
21,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 20]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
22,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
23,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 22]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
24,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
25,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 24]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
26,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
27,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 26]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
28,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
29,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 28]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
30,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
31,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 30]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
32,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
33,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 32]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
34,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
35,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 34]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
36,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
37,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 36]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
38,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
39,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 38]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
40,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
41,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 40]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
42,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
43,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 42]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
44,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
45,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 44]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
46,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
47,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 46]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
48,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
49,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 48]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
50,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
51,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 50]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
52,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
53,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 52]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
54,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
55,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 54]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
56,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
57,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 56]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
58,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
59,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 58]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
60,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
61,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 60]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
62,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
63,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 62]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
64,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
65,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 64]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
66,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
67,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 66]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
68,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
69,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 68]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
70,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
71,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 70]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
72,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
73,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 72]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
74,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
75,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 74]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
76,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
77,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 76]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
78,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
79,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 78]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
80,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
81,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 80]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
82,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
83,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 82]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
84,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
85,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 84]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
86,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
87,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 86]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
88,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
89,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 88]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
90,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
91,attn+FFN,1,0,self_attn,,,,batched_matmul,"[[B*n_h_kda*n_chunk, d_chunk, d_head_kda], [B*n_h_kda*n_chunk, d_head_kda, 1]]",,,"[[B*n_h_kda*n_chunk, d_chunk, 1]]","[9, 90]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False,
92,attn+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",,,"[[B, n_h_kda, 5, d_chunk, d_head_kda]]",[16],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False,
