op_id,block_type,repeat,layers,h1,h2,h3,h4,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
19,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
20,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
21,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
22,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
23,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
24,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
25,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
26,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
27,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
28,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
29,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26, 28]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
30,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
31,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26, 28, 30]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
32,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
33,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26, 28, 30, 32]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
34,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
35,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
36,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
37,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
38,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
39,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
40,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
41,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
42,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
43,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
44,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
45,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
46,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
47,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],prefill,False
48,SSM+FFN,1,0,self_attn,g_a_proj,,,matmul,"[[T, d_model], [d_model, d_head_kda]]","[d_head_kda, d_model]",1,"[[T, d_head_kda]]",[1],0,self_attn,g_a_proj,2,model.layers.0.self_attn.g_a_proj,aten.mm.default,[model.layers.0.self_attn.g_a_proj.weight],prefill,False
49,SSM+FFN,1,0,self_attn,g_b_proj,,,matmul,"[[T, d_head_kda], [d_head_kda, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",1,"[[T, n_h_kda*d_head_kda]]",[48],0,self_attn,g_b_proj,2,model.layers.0.self_attn.g_b_proj,aten.mm.default,[model.layers.0.self_attn.g_b_proj.weight],prefill,False
50,SSM+FFN,1,0,self_attn,o_norm,,,rmsnorm,"[[B, T, n_h_kda, d_head_kda]]",[d_head_kda],-1,"[[B, T, n_h_kda, d_head_kda]]","[10, 49]",0,self_attn,o_norm,2,model.layers.0.self_attn.o_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul+sigmoid+mul,[model.layers.0.self_attn.o_norm.weight],prefill,False
51,SSM+FFN,1,0,self_attn,o_proj,,,matmul,"[[T, n_h_kda*d_head_kda], [n_h_kda*d_head_kda, d_model]]","[d_model, n_h_kda*d_head_kda]",1,"[[T, d_model]]",[50],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],prefill,False
52,SSM+FFN,1,0,,,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[0, 51]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
53,SSM+FFN,1,0,post_attention_layernorm,,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[52],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],prefill,False
54,SSM+FFN,1,0,mlp,gate_proj,,,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[T, d_ff]]",[53],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],prefill,False
55,SSM+FFN,1,0,mlp,act_fn,,,silu,"[[B, T, d_ff]]",,,"[[B, T, d_ff]]",[54],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.silu.default,[],prefill,False
56,SSM+FFN,1,0,mlp,up_proj,,,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[T, d_ff]]",[53],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],prefill,False
57,SSM+FFN,1,0,mlp,,,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,,"[[B, T, d_ff]]","[55, 56]",0,mlp,,1,model.layers.0.mlp,aten.mul.Tensor,[],prefill,False
58,SSM+FFN,1,0,mlp,down_proj,,,matmul,"[[T, d_ff], [d_ff, d_model]]","[d_model, d_ff]",1,"[[T, d_model]]",[57],0,mlp,down_proj,2,model.layers.0.mlp.down_proj,aten.mm.default,[model.layers.0.mlp.down_proj.weight],prefill,False
59,SSM+FFN,1,0,,,,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,,"[[B, T, d_model]]","[52, 58]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
60,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",input_layernorm,,,,rmsnorm,"[[B, T, d_model]]",[d_model],-1,"[[B, T, d_model]]",[59],1,input_layernorm,,1,model.layers.1.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.1.input_layernorm.weight],prefill,False
61,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,q_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[T, n_h_kda*d_head_kda]]",[60],1,self_attn,q_proj,2,model.layers.1.self_attn.q_proj,aten.mm.default,[model.layers.1.self_attn.q_proj.weight],prefill,False
62,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,q_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[61],1,self_attn,q_conv1d,3,model.layers.1.self_attn.q_conv1d.conv,aten.convolution.default,[model.layers.1.self_attn.q_conv1d.conv.weight],prefill,False
63,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,q_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[62],1,self_attn,q_conv1d,2,model.layers.1.self_attn.q_conv1d,aten.silu.default,[],prefill,False
64,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,k_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[T, n_h_kda*d_head_kda]]",[60],1,self_attn,k_proj,2,model.layers.1.self_attn.k_proj,aten.mm.default,[model.layers.1.self_attn.k_proj.weight],prefill,False
65,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,k_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[64],1,self_attn,k_conv1d,3,model.layers.1.self_attn.k_conv1d.conv,aten.convolution.default,[model.layers.1.self_attn.k_conv1d.conv.weight],prefill,False
66,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,k_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[65],1,self_attn,k_conv1d,2,model.layers.1.self_attn.k_conv1d,aten.silu.default,[],prefill,False
67,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,v_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[T, n_h_kda*d_head_kda]]",[60],1,self_attn,v_proj,2,model.layers.1.self_attn.v_proj,aten.mm.default,[model.layers.1.self_attn.v_proj.weight],prefill,False
68,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,v_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[67],1,self_attn,v_conv1d,3,model.layers.1.self_attn.v_conv1d.conv,aten.convolution.default,[model.layers.1.self_attn.v_conv1d.conv.weight],prefill,False
69,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,v_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[68],1,self_attn,v_conv1d,2,model.layers.1.self_attn.v_conv1d,aten.silu.default,[],prefill,False
70,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,f_a_proj,,,matmul,"[[T, d_model], [d_model, d_head_kda]]","[d_head_kda, d_model]",1,"[[T, d_head_kda]]",[60],1,self_attn,f_a_proj,2,model.layers.1.self_attn.f_a_proj,aten.mm.default,[model.layers.1.self_attn.f_a_proj.weight],prefill,False
71,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,f_b_proj,,,matmul,"[[T, d_head_kda], [d_head_kda, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",1,"[[T, n_h_kda*d_head_kda]]",[70],1,self_attn,f_b_proj,2,model.layers.1.self_attn.f_b_proj,aten.mm.default,[model.layers.1.self_attn.f_b_proj.weight],prefill,False
72,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,exp,"[[n_h_kda, 1]]","[1, 1, n_h_kda, 1]",-1,"[[n_h_kda, 1]]",[],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[model.layers.1.self_attn.A_log],prefill,False
73,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,b_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda]]","[n_h_kda, d_model]",1,"[[T, n_h_kda]]",[60],1,self_attn,b_proj,2,model.layers.1.self_attn.b_proj,aten.mm.default,[model.layers.1.self_attn.b_proj.weight],prefill,False
74,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,sigmoid,"[[B, T, n_h_kda]]",,,"[[B, T, n_h_kda]]",[73],1,self_attn,,1,model.layers.1.self_attn,aten.sigmoid.default,[],prefill,False
75,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[71, 72]",1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False
76,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[63, 66, 69, 74, 75]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False
77,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[71, 72]",1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False
78,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[63, 66, 69, 74, 75, 77]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False
79,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[71, 72]",1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False
80,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[63, 66, 69, 74, 75, 77, 79]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False
81,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[71, 72]",1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False
82,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[63, 66, 69, 74, 75, 77, 79, 81]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False
83,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[71, 72]",1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False
84,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[63, 66, 69, 74, 75, 77, 79, 81, 83]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False
85,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[71, 72]",1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],prefill,False
