op_id,block_type,repeat,layers,h1,h2,h3,h4,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
12,SSM+FFN,1,0,self_attn,f_b_proj,,,matmul,"[[B, d_head_kda], [d_head_kda, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",1,"[[B, n_h_kda*d_head_kda]]",[11],0,self_attn,f_b_proj,2,model.layers.0.self_attn.f_b_proj,aten.mm.default,[model.layers.0.self_attn.f_b_proj.weight],decode,False
13,SSM+FFN,1,0,self_attn,,,,exp,"[[n_h_kda, 1]]","[1, 1, n_h_kda, 1]",-1,"[[n_h_kda, 1]]",[],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[model.layers.0.self_attn.A_log],decode,False
14,SSM+FFN,1,0,self_attn,b_proj,,,matmul,"[[B, d_model], [d_model, n_h_kda]]","[n_h_kda, d_model]",1,"[[B, n_h_kda]]",[1],0,self_attn,b_proj,2,model.layers.0.self_attn.b_proj,aten.mm.default,[model.layers.0.self_attn.b_proj.weight],decode,False
15,SSM+FFN,1,0,self_attn,,,,sigmoid,"[[B, 1, n_h_kda]]",,,"[[B, 1, n_h_kda]]",[14],0,self_attn,,1,model.layers.0.self_attn,aten.sigmoid.default,[],decode,False
16,SSM+FFN,1,0,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[12, 13]",0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],decode,False
17,SSM+FFN,1,0,self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[4, 7, 10, 15, 16]",0,self_attn,,1,model.layers.0.self_attn,aten.bmm.default,[],decode,False
18,SSM+FFN,1,0,self_attn,g_a_proj,,,matmul,"[[B, d_model], [d_model, d_head_kda]]","[d_head_kda, d_model]",1,"[[B, d_head_kda]]",[1],0,self_attn,g_a_proj,2,model.layers.0.self_attn.g_a_proj,aten.mm.default,[model.layers.0.self_attn.g_a_proj.weight],decode,False
19,SSM+FFN,1,0,self_attn,g_b_proj,,,matmul,"[[B, d_head_kda], [d_head_kda, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",1,"[[B, n_h_kda*d_head_kda]]",[18],0,self_attn,g_b_proj,2,model.layers.0.self_attn.g_b_proj,aten.mm.default,[model.layers.0.self_attn.g_b_proj.weight],decode,False
20,SSM+FFN,1,0,self_attn,o_norm,,,rmsnorm,"[[B, 1, n_h_kda, d_head_kda]]",[d_head_kda],-1,"[[B, 1, n_h_kda, d_head_kda]]","[10, 19]",0,self_attn,o_norm,2,model.layers.0.self_attn.o_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul+sigmoid+mul,[model.layers.0.self_attn.o_norm.weight],decode,False
21,SSM+FFN,1,0,self_attn,o_proj,,,matmul,"[[B, n_h_kda*d_head_kda], [n_h_kda*d_head_kda, d_model]]","[d_model, n_h_kda*d_head_kda]",1,"[[B, d_model]]",[20],0,self_attn,o_proj,2,model.layers.0.self_attn.o_proj,aten.mm.default,[model.layers.0.self_attn.o_proj.weight],decode,False
22,SSM+FFN,1,0,,,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 21]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
23,SSM+FFN,1,0,post_attention_layernorm,,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[22],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.0.post_attention_layernorm.weight],decode,False
24,SSM+FFN,1,0,mlp,gate_proj,,,matmul,"[[B, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[B, d_ff]]",[23],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],decode,False
25,SSM+FFN,1,0,mlp,act_fn,,,silu,"[[B, 1, d_ff]]",,,"[[B, 1, d_ff]]",[24],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.silu.default,[],decode,False
26,SSM+FFN,1,0,mlp,up_proj,,,matmul,"[[B, d_model], [d_model, d_ff]]","[d_ff, d_model]",1,"[[B, d_ff]]",[23],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],decode,False
27,SSM+FFN,1,0,mlp,,,,elementwise_mul,"[[B, 1, d_ff], [B, 1, d_ff]]",,,"[[B, 1, d_ff]]","[25, 26]",0,mlp,,1,model.layers.0.mlp,aten.mul.Tensor,[],decode,False
28,SSM+FFN,1,0,mlp,down_proj,,,matmul,"[[B, d_ff], [d_ff, d_model]]","[d_model, d_ff]",1,"[[B, d_model]]",[27],0,mlp,down_proj,2,model.layers.0.mlp.down_proj,aten.mm.default,[model.layers.0.mlp.down_proj.weight],decode,False
29,SSM+FFN,1,0,,,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[22, 28]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
30,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",input_layernorm,,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[29],1,input_layernorm,,1,model.layers.1.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.1.input_layernorm.weight],decode,False
31,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,q_proj,,,matmul,"[[B, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[B, n_h_kda*d_head_kda]]",[30],1,self_attn,q_proj,2,model.layers.1.self_attn.q_proj,aten.mm.default,[model.layers.1.self_attn.q_proj.weight],decode,False
32,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,q_conv1d,,,conv1d,"[[B, n_h_kda*d_head_kda, d_conv], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, 1]]",[31],1,self_attn,q_conv1d,2,model.layers.1.self_attn.q_conv1d,aten.convolution.default,[model.layers.1.self_attn.q_conv1d.conv.weight],decode,False
33,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,q_conv1d,,,silu,"[[B, 1, n_h_kda*d_head_kda]]",,,"[[B, 1, n_h_kda*d_head_kda]]",[32],1,self_attn,q_conv1d,2,model.layers.1.self_attn.q_conv1d,aten.silu.default,[],decode,False
34,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,k_proj,,,matmul,"[[B, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[B, n_h_kda*d_head_kda]]",[30],1,self_attn,k_proj,2,model.layers.1.self_attn.k_proj,aten.mm.default,[model.layers.1.self_attn.k_proj.weight],decode,False
35,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,k_conv1d,,,conv1d,"[[B, n_h_kda*d_head_kda, d_conv], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, 1]]",[34],1,self_attn,k_conv1d,2,model.layers.1.self_attn.k_conv1d,aten.convolution.default,[model.layers.1.self_attn.k_conv1d.conv.weight],decode,False
36,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,k_conv1d,,,silu,"[[B, 1, n_h_kda*d_head_kda]]",,,"[[B, 1, n_h_kda*d_head_kda]]",[35],1,self_attn,k_conv1d,2,model.layers.1.self_attn.k_conv1d,aten.silu.default,[],decode,False
37,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,v_proj,,,matmul,"[[B, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[B, n_h_kda*d_head_kda]]",[30],1,self_attn,v_proj,2,model.layers.1.self_attn.v_proj,aten.mm.default,[model.layers.1.self_attn.v_proj.weight],decode,False
38,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,v_conv1d,,,conv1d,"[[B, n_h_kda*d_head_kda, d_conv], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, 1]]",[37],1,self_attn,v_conv1d,2,model.layers.1.self_attn.v_conv1d,aten.convolution.default,[model.layers.1.self_attn.v_conv1d.conv.weight],decode,False
39,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,v_conv1d,,,silu,"[[B, 1, n_h_kda*d_head_kda]]",,,"[[B, 1, n_h_kda*d_head_kda]]",[38],1,self_attn,v_conv1d,2,model.layers.1.self_attn.v_conv1d,aten.silu.default,[],decode,False
40,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,f_a_proj,,,matmul,"[[B, d_model], [d_model, d_head_kda]]","[d_head_kda, d_model]",1,"[[B, d_head_kda]]",[30],1,self_attn,f_a_proj,2,model.layers.1.self_attn.f_a_proj,aten.mm.default,[model.layers.1.self_attn.f_a_proj.weight],decode,False
41,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,f_b_proj,,,matmul,"[[B, d_head_kda], [d_head_kda, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",1,"[[B, n_h_kda*d_head_kda]]",[40],1,self_attn,f_b_proj,2,model.layers.1.self_attn.f_b_proj,aten.mm.default,[model.layers.1.self_attn.f_b_proj.weight],decode,False
42,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,exp,"[[n_h_kda, 1]]","[1, 1, n_h_kda, 1]",-1,"[[n_h_kda, 1]]",[],1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[model.layers.1.self_attn.A_log],decode,False
43,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,b_proj,,,matmul,"[[B, d_model], [d_model, n_h_kda]]","[n_h_kda, d_model]",1,"[[B, n_h_kda]]",[30],1,self_attn,b_proj,2,model.layers.1.self_attn.b_proj,aten.mm.default,[model.layers.1.self_attn.b_proj.weight],decode,False
44,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,sigmoid,"[[B, 1, n_h_kda]]",,,"[[B, 1, n_h_kda]]",[43],1,self_attn,,1,model.layers.1.self_attn,aten.sigmoid.default,[],decode,False
45,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]","[41, 42]",1,self_attn,,1,model.layers.1.self_attn,aten.exp.default,[],decode,False
46,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,,,,batched_matmul,"[[n_h_kda, B, d_head_kda], [n_h_kda, d_head_kda, d_head_kda]]",,,"[[n_h_kda, B, d_head_kda]]","[33, 36, 39, 44, 45]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],decode,False
47,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,g_a_proj,,,matmul,"[[B, d_model], [d_model, d_head_kda]]","[d_head_kda, d_model]",1,"[[B, d_head_kda]]",[30],1,self_attn,g_a_proj,2,model.layers.1.self_attn.g_a_proj,aten.mm.default,[model.layers.1.self_attn.g_a_proj.weight],decode,False
48,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,g_b_proj,,,matmul,"[[B, d_head_kda], [d_head_kda, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",1,"[[B, n_h_kda*d_head_kda]]",[47],1,self_attn,g_b_proj,2,model.layers.1.self_attn.g_b_proj,aten.mm.default,[model.layers.1.self_attn.g_b_proj.weight],decode,False
49,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,o_norm,,,rmsnorm,"[[B, 1, n_h_kda, d_head_kda]]",[d_head_kda],-1,"[[B, 1, n_h_kda, d_head_kda]]","[39, 48]",1,self_attn,o_norm,2,model.layers.1.self_attn.o_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul+sigmoid+mul,[model.layers.1.self_attn.o_norm.weight],decode,False
50,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",self_attn,o_proj,,,matmul,"[[B, n_h_kda*d_head_kda], [n_h_kda*d_head_kda, d_model]]","[d_model, n_h_kda*d_head_kda]",1,"[[B, d_model]]",[49],1,self_attn,o_proj,2,model.layers.1.self_attn.o_proj,aten.mm.default,[model.layers.1.self_attn.o_proj.weight],decode,False
51,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",,,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[29, 50]",1,,,0,model.layers.1,aten.add.Tensor,[],decode,False
52,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",post_attention_layernorm,,,,rmsnorm,"[[B, 1, d_model]]",[d_model],-1,"[[B, 1, d_model]]",[51],1,post_attention_layernorm,,1,model.layers.1.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.1.post_attention_layernorm.weight],decode,False
53,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,gate,,,matmul,"[[B, d_model], [d_model, E]]","[E, d_model]",1,"[[B, E]]",[52],1,block_sparse_moe,gate,2,model.layers.1.block_sparse_moe.gate,aten.mm.default,[model.layers.1.block_sparse_moe.gate.weight],decode,False
54,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,gate,,,sigmoid,"[[B, E]]",,,"[[B, E]]",[53],1,block_sparse_moe,gate,2,model.layers.1.block_sparse_moe.gate,aten.sigmoid.default,[],decode,False
55,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,0,w1,matmul,"[[2, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[2, d_moe]]","[52, 54]",1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.0.w1,aten.mm.default,[model.layers.1.block_sparse_moe.experts.0.w1.weight],decode,False
56,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,0,act_fn,silu,"[[2, d_moe]]",,,"[[2, d_moe]]",[55],1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.0.act_fn,aten.silu.default,[],decode,False
57,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,0,w3,matmul,"[[2, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[2, d_moe]]","[52, 54]",1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.0.w3,aten.mm.default,[model.layers.1.block_sparse_moe.experts.0.w3.weight],decode,False
58,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,0,,elementwise_mul,"[[2, d_moe], [2, d_moe]]",,,"[[2, d_moe]]","[56, 57]",1,block_sparse_moe,experts,3,model.layers.1.block_sparse_moe.experts.0,aten.mul.Tensor,[],decode,False
59,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,0,w2,matmul,"[[2, d_moe], [d_moe, d_model]]","[d_model, d_moe]",1,"[[2, d_model]]",[58],1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.0.w2,aten.mm.default,[model.layers.1.block_sparse_moe.experts.0.w2.weight],decode,False
60,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,1,w1,matmul,"[[2, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[2, d_moe]]","[52, 54]",1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.1.w1,aten.mm.default,[model.layers.1.block_sparse_moe.experts.1.w1.weight],decode,False
61,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,1,act_fn,silu,"[[2, d_moe]]",,,"[[2, d_moe]]",[60],1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.1.act_fn,aten.silu.default,[],decode,False
62,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,1,w3,matmul,"[[2, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[2, d_moe]]","[52, 54]",1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.1.w3,aten.mm.default,[model.layers.1.block_sparse_moe.experts.1.w3.weight],decode,False
63,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,1,,elementwise_mul,"[[2, d_moe], [2, d_moe]]",,,"[[2, d_moe]]","[61, 62]",1,block_sparse_moe,experts,3,model.layers.1.block_sparse_moe.experts.1,aten.mul.Tensor,[],decode,False
64,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,1,w2,matmul,"[[2, d_moe], [d_moe, d_model]]","[d_model, d_moe]",1,"[[2, d_model]]",[63],1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.1.w2,aten.mm.default,[model.layers.1.block_sparse_moe.experts.1.w2.weight],decode,False
65,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,2,w1,matmul,"[[2, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[2, d_moe]]","[52, 54]",1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.2.w1,aten.mm.default,[model.layers.1.block_sparse_moe.experts.2.w1.weight],decode,False
66,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,2,act_fn,silu,"[[2, d_moe]]",,,"[[2, d_moe]]",[65],1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.2.act_fn,aten.silu.default,[],decode,False
67,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,2,w3,matmul,"[[2, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[2, d_moe]]","[52, 54]",1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.2.w3,aten.mm.default,[model.layers.1.block_sparse_moe.experts.2.w3.weight],decode,False
68,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,2,,elementwise_mul,"[[2, d_moe], [2, d_moe]]",,,"[[2, d_moe]]","[66, 67]",1,block_sparse_moe,experts,3,model.layers.1.block_sparse_moe.experts.2,aten.mul.Tensor,[],decode,False
69,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,2,w2,matmul,"[[2, d_moe], [d_moe, d_model]]","[d_model, d_moe]",1,"[[2, d_model]]",[68],1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.2.w2,aten.mm.default,[model.layers.1.block_sparse_moe.experts.2.w2.weight],decode,False
70,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,3,w1,matmul,"[[2, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[2, d_moe]]","[52, 54]",1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.3.w1,aten.mm.default,[model.layers.1.block_sparse_moe.experts.3.w1.weight],decode,False
71,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,3,act_fn,silu,"[[2, d_moe]]",,,"[[2, d_moe]]",[70],1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.3.act_fn,aten.silu.default,[],decode,False
72,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,3,w3,matmul,"[[2, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[2, d_moe]]","[52, 54]",1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.3.w3,aten.mm.default,[model.layers.1.block_sparse_moe.experts.3.w3.weight],decode,False
73,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,3,,elementwise_mul,"[[2, d_moe], [2, d_moe]]",,,"[[2, d_moe]]","[71, 72]",1,block_sparse_moe,experts,3,model.layers.1.block_sparse_moe.experts.3,aten.mul.Tensor,[],decode,False
74,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,experts,3,w2,matmul,"[[2, d_moe], [d_moe, d_model]]","[d_model, d_moe]",1,"[[2, d_model]]",[73],1,block_sparse_moe,experts,4,model.layers.1.block_sparse_moe.experts.3.w2,aten.mm.default,[model.layers.1.block_sparse_moe.experts.3.w2.weight],decode,False
75,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,,,,concat,"[[2, d_model], [2, d_model], [2, d_model], [2, d_model]]",,,"[[k, d_model]]","[59, 64, 69, 74]",1,block_sparse_moe,,1,model.layers.1.block_sparse_moe,aten.cat.default,[],decode,False
76,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,,,,sum,"[[B, k, d_model]]",,,"[[B, d_model]]","[54, 75]",1,block_sparse_moe,,1,model.layers.1.block_sparse_moe,aten.sum.dim_IntList,[],decode,True
77,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,shared_experts,gate_proj,,matmul,"[[B, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[B, d_moe]]",[52],1,block_sparse_moe,shared_experts,3,model.layers.1.block_sparse_moe.shared_experts.gate_proj,aten.mm.default,[model.layers.1.block_sparse_moe.shared_experts.gate_proj.weight],decode,False
78,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,shared_experts,act_fn,,silu,"[[B, 1, d_moe]]",,,"[[B, 1, d_moe]]",[77],1,block_sparse_moe,shared_experts,3,model.layers.1.block_sparse_moe.shared_experts.act_fn,aten.silu.default,[],decode,False
79,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,shared_experts,up_proj,,matmul,"[[B, d_model], [d_model, d_moe]]","[d_moe, d_model]",1,"[[B, d_moe]]",[52],1,block_sparse_moe,shared_experts,3,model.layers.1.block_sparse_moe.shared_experts.up_proj,aten.mm.default,[model.layers.1.block_sparse_moe.shared_experts.up_proj.weight],decode,False
80,SSM+MoE,19,"1-2,4-6,8-10,12-14,16-18,20-22,24-25",block_sparse_moe,shared_experts,,,elementwise_mul,"[[B, 1, d_moe], [B, 1, d_moe]]",,,"[[B, 1, d_moe]]","[78, 79]",1,block_sparse_moe,shared_experts,2,model.layers.1.block_sparse_moe.shared_experts,aten.mul.Tensor,[],decode,False
