op_id,h1,h2,h3,h4,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
28,input_layernorm,,,,pow,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[27],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.pow.Tensor_Scalar,[],prefill,False
29,input_layernorm,,,,mean,"[[B, T, d_model]]",,,"[[B, T, 1]]",[28],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mean.dim,[],prefill,False
30,input_layernorm,,,,elementwise_add,"[[B, T, 1]]",,,"[[B, T, 1]]",[29],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.add.Tensor,[],prefill,False
31,input_layernorm,,,,rsqrt,"[[B, T, 1]]",,,"[[B, T, 1]]",[30],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.rsqrt.default,[],prefill,False
32,input_layernorm,,,,elementwise_mul,"[[B, T, d_model], [B, T, 1]]",,,"[[B, T, d_model]]","[27, 31]",0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[],prefill,False
33,input_layernorm,,,,_to_copy,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[32],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[],prefill,True
34,input_layernorm,,,,elementwise_mul,"[[d_model], [B, T, d_model]]",,,"[[B, T, d_model]]",[33],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[model.layers.0.input_layernorm.weight],prefill,False
35,self_attn,q_proj,,,t,"[[n_h_kda*d_head_kda, d_model]]","[n_h_kda*d_head_kda, d_model]",0,"[[d_model, n_h_kda*d_head_kda]]",[],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.t.default,[model.layers.0.self_attn.q_proj.weight],prefill,True
37,self_attn,q_proj,,,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[34],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.view.default,[],prefill,True
39,self_attn,q_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[T, n_h_kda*d_head_kda]]","[35, 37]",0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten.mm.default,[model.layers.0.self_attn.q_proj.weight],prefill,False
40,self_attn,q_proj,,,_unsafe_view,"[[T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[39],0,self_attn,q_proj,2,model.layers.0.self_attn.q_proj,aten._unsafe_view.default,[],prefill,True
41,self_attn,q_conv1d,,,transpose,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, n_h_kda*d_head_kda, T]]",[40],0,self_attn,q_conv1d,2,model.layers.0.self_attn.q_conv1d,aten.transpose.int,[],prefill,True
43,self_attn,q_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[41],0,self_attn,q_conv1d,3,model.layers.0.self_attn.q_conv1d.conv,aten.convolution.default,[model.layers.0.self_attn.q_conv1d.conv.weight],prefill,False
46,self_attn,q_conv1d,,,slice,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",,,"[[B, n_h_kda*d_head_kda, T]]",[43],0,self_attn,q_conv1d,2,model.layers.0.self_attn.q_conv1d,aten.slice.Tensor,[],prefill,True
48,self_attn,q_conv1d,,,transpose,"[[B, n_h_kda*d_head_kda, T]]",,,"[[B, T, n_h_kda*d_head_kda]]",[46],0,self_attn,q_conv1d,2,model.layers.0.self_attn.q_conv1d,aten.transpose.int,[],prefill,True
50,self_attn,q_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[48],0,self_attn,q_conv1d,2,model.layers.0.self_attn.q_conv1d,aten.silu.default,[],prefill,False
53,self_attn,q_conv1d,,,slice,"[[B, n_h_kda*d_head_kda, T]]",,,"[[B, n_h_kda*d_head_kda, 3]]",[41],0,self_attn,q_conv1d,2,model.layers.0.self_attn.q_conv1d,aten.slice.Tensor,[],prefill,True
55,self_attn,k_proj,,,t,"[[n_h_kda*d_head_kda, d_model]]","[n_h_kda*d_head_kda, d_model]",0,"[[d_model, n_h_kda*d_head_kda]]",[],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.t.default,[model.layers.0.self_attn.k_proj.weight],prefill,True
57,self_attn,k_proj,,,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[34],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.view.default,[],prefill,True
59,self_attn,k_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[T, n_h_kda*d_head_kda]]","[55, 57]",0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten.mm.default,[model.layers.0.self_attn.k_proj.weight],prefill,False
60,self_attn,k_proj,,,_unsafe_view,"[[T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[59],0,self_attn,k_proj,2,model.layers.0.self_attn.k_proj,aten._unsafe_view.default,[],prefill,True
61,self_attn,k_conv1d,,,transpose,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, n_h_kda*d_head_kda, T]]",[60],0,self_attn,k_conv1d,2,model.layers.0.self_attn.k_conv1d,aten.transpose.int,[],prefill,True
63,self_attn,k_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[61],0,self_attn,k_conv1d,3,model.layers.0.self_attn.k_conv1d.conv,aten.convolution.default,[model.layers.0.self_attn.k_conv1d.conv.weight],prefill,False
66,self_attn,k_conv1d,,,slice,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",,,"[[B, n_h_kda*d_head_kda, T]]",[63],0,self_attn,k_conv1d,2,model.layers.0.self_attn.k_conv1d,aten.slice.Tensor,[],prefill,True
68,self_attn,k_conv1d,,,transpose,"[[B, n_h_kda*d_head_kda, T]]",,,"[[B, T, n_h_kda*d_head_kda]]",[66],0,self_attn,k_conv1d,2,model.layers.0.self_attn.k_conv1d,aten.transpose.int,[],prefill,True
70,self_attn,k_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[68],0,self_attn,k_conv1d,2,model.layers.0.self_attn.k_conv1d,aten.silu.default,[],prefill,False
73,self_attn,k_conv1d,,,slice,"[[B, n_h_kda*d_head_kda, T]]",,,"[[B, n_h_kda*d_head_kda, 3]]",[61],0,self_attn,k_conv1d,2,model.layers.0.self_attn.k_conv1d,aten.slice.Tensor,[],prefill,True
75,self_attn,v_proj,,,t,"[[n_h_kda*d_head_kda, d_model]]","[n_h_kda*d_head_kda, d_model]",0,"[[d_model, n_h_kda*d_head_kda]]",[],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.t.default,[model.layers.0.self_attn.v_proj.weight],prefill,True
77,self_attn,v_proj,,,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[34],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.view.default,[],prefill,True
79,self_attn,v_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_model]",1,"[[T, n_h_kda*d_head_kda]]","[75, 77]",0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten.mm.default,[model.layers.0.self_attn.v_proj.weight],prefill,False
80,self_attn,v_proj,,,_unsafe_view,"[[T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[79],0,self_attn,v_proj,2,model.layers.0.self_attn.v_proj,aten._unsafe_view.default,[],prefill,True
81,self_attn,v_conv1d,,,transpose,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, n_h_kda*d_head_kda, T]]",[80],0,self_attn,v_conv1d,2,model.layers.0.self_attn.v_conv1d,aten.transpose.int,[],prefill,True
83,self_attn,v_conv1d,conv,,conv1d,"[[B, n_h_kda*d_head_kda, T], [n_h_kda*d_head_kda, 1, d_conv]]","[n_h_kda*d_head_kda, 1, d_conv]",1,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",[81],0,self_attn,v_conv1d,3,model.layers.0.self_attn.v_conv1d.conv,aten.convolution.default,[model.layers.0.self_attn.v_conv1d.conv.weight],prefill,False
86,self_attn,v_conv1d,,,slice,"[[B, n_h_kda*d_head_kda, T+d_conv-1]]",,,"[[B, n_h_kda*d_head_kda, T]]",[83],0,self_attn,v_conv1d,2,model.layers.0.self_attn.v_conv1d,aten.slice.Tensor,[],prefill,True
88,self_attn,v_conv1d,,,transpose,"[[B, n_h_kda*d_head_kda, T]]",,,"[[B, T, n_h_kda*d_head_kda]]",[86],0,self_attn,v_conv1d,2,model.layers.0.self_attn.v_conv1d,aten.transpose.int,[],prefill,True
90,self_attn,v_conv1d,,,silu,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[88],0,self_attn,v_conv1d,2,model.layers.0.self_attn.v_conv1d,aten.silu.default,[],prefill,False
93,self_attn,v_conv1d,,,slice,"[[B, n_h_kda*d_head_kda, T]]",,,"[[B, n_h_kda*d_head_kda, 3]]",[81],0,self_attn,v_conv1d,2,model.layers.0.self_attn.v_conv1d,aten.slice.Tensor,[],prefill,True
95,self_attn,f_a_proj,,,t,"[[d_head_kda, d_model]]","[d_head_kda, d_model]",0,"[[d_model, d_head_kda]]",[],0,self_attn,f_a_proj,2,model.layers.0.self_attn.f_a_proj,aten.t.default,[model.layers.0.self_attn.f_a_proj.weight],prefill,True
97,self_attn,f_a_proj,,,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[34],0,self_attn,f_a_proj,2,model.layers.0.self_attn.f_a_proj,aten.view.default,[],prefill,True
99,self_attn,f_a_proj,,,matmul,"[[T, d_model], [d_model, d_head_kda]]","[d_head_kda, d_model]",1,"[[T, d_head_kda]]","[95, 97]",0,self_attn,f_a_proj,2,model.layers.0.self_attn.f_a_proj,aten.mm.default,[model.layers.0.self_attn.f_a_proj.weight],prefill,False
100,self_attn,f_a_proj,,,_unsafe_view,"[[T, d_head_kda]]",,,"[[B, T, d_head_kda]]",[99],0,self_attn,f_a_proj,2,model.layers.0.self_attn.f_a_proj,aten._unsafe_view.default,[],prefill,True
101,self_attn,f_b_proj,,,t,"[[n_h_kda*d_head_kda, d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",0,"[[d_head_kda, n_h_kda*d_head_kda]]",[],0,self_attn,f_b_proj,2,model.layers.0.self_attn.f_b_proj,aten.t.default,[model.layers.0.self_attn.f_b_proj.weight],prefill,True
103,self_attn,f_b_proj,,,view,"[[B, T, d_head_kda]]",,,"[[T, d_head_kda]]",[100],0,self_attn,f_b_proj,2,model.layers.0.self_attn.f_b_proj,aten.view.default,[],prefill,True
105,self_attn,f_b_proj,,,matmul,"[[T, d_head_kda], [d_head_kda, n_h_kda*d_head_kda]]","[n_h_kda*d_head_kda, d_head_kda]",1,"[[T, n_h_kda*d_head_kda]]","[101, 103]",0,self_attn,f_b_proj,2,model.layers.0.self_attn.f_b_proj,aten.mm.default,[model.layers.0.self_attn.f_b_proj.weight],prefill,False
106,self_attn,f_b_proj,,,_unsafe_view,"[[T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda*d_head_kda]]",[105],0,self_attn,f_b_proj,2,model.layers.0.self_attn.f_b_proj,aten._unsafe_view.default,[],prefill,True
107,self_attn,,,,view,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[106],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
109,self_attn,,,,_to_copy,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[107],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],prefill,True
110,self_attn,,,,view,[[n_h_kda*d_head_kda]],,,"[[n_h_kda, d_head_kda]]",[],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[model.layers.0.self_attn.dt_bias],prefill,True
112,self_attn,,,,elementwise_add,"[[B, T, n_h_kda, d_head_kda], [n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]","[109, 110]",0,self_attn,,1,model.layers.0.self_attn,aten.add.Tensor,[model.layers.0.self_attn.dt_bias],prefill,False
113,self_attn,,,,view,"[[1, 1, n_h_kda, 1]]","[1, 1, n_h_kda, 1]",0,"[[n_h_kda, 1]]",[],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[model.layers.0.self_attn.A_log],prefill,True
116,self_attn,,,,exp,"[[n_h_kda, 1]]","[1, 1, n_h_kda, 1]",-1,"[[n_h_kda, 1]]",[113],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[model.layers.0.self_attn.A_log],prefill,False
117,self_attn,,,,neg,"[[n_h_kda, 1]]",,,"[[n_h_kda, 1]]",[116],0,self_attn,,1,model.layers.0.self_attn,aten.neg.default,[],prefill,False
119,self_attn,,,,softplus,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[112],0,self_attn,,1,model.layers.0.self_attn,aten.softplus.default,[],prefill,True
120,self_attn,,,,elementwise_mul,"[[n_h_kda, 1], [B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]","[117, 119]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],prefill,False
122,self_attn,b_proj,,,t,"[[n_h_kda, d_model]]","[n_h_kda, d_model]",0,"[[d_model, n_h_kda]]",[],0,self_attn,b_proj,2,model.layers.0.self_attn.b_proj,aten.t.default,[model.layers.0.self_attn.b_proj.weight],prefill,True
124,self_attn,b_proj,,,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[34],0,self_attn,b_proj,2,model.layers.0.self_attn.b_proj,aten.view.default,[],prefill,True
126,self_attn,b_proj,,,matmul,"[[T, d_model], [d_model, n_h_kda]]","[n_h_kda, d_model]",1,"[[T, n_h_kda]]","[122, 124]",0,self_attn,b_proj,2,model.layers.0.self_attn.b_proj,aten.mm.default,[model.layers.0.self_attn.b_proj.weight],prefill,False
127,self_attn,b_proj,,,_unsafe_view,"[[T, n_h_kda]]",,,"[[B, T, n_h_kda]]",[126],0,self_attn,b_proj,2,model.layers.0.self_attn.b_proj,aten._unsafe_view.default,[],prefill,True
128,self_attn,,,,_to_copy,"[[B, T, n_h_kda]]",,,"[[B, T, n_h_kda]]",[127],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],prefill,True
129,self_attn,,,,sigmoid,"[[B, T, n_h_kda]]",,,"[[B, T, n_h_kda]]",[128],0,self_attn,,1,model.layers.0.self_attn,aten.sigmoid.default,[],prefill,False
133,self_attn,,,,view,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[50],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
138,self_attn,,,,view,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[70],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
143,self_attn,,,,view,"[[B, T, n_h_kda*d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[90],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
145,self_attn,,,,linalg_vector_norm,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, 1]]",[133],0,self_attn,,1,model.layers.0.self_attn,aten.linalg_vector_norm.default,[],prefill,True
146,self_attn,,,,clamp_min,"[[B, T, n_h_kda, 1]]",,,"[[B, T, n_h_kda, 1]]",[145],0,self_attn,,1,model.layers.0.self_attn,aten.clamp_min.default,[],prefill,True
147,self_attn,,,,expand,"[[B, T, n_h_kda, 1]]",,,"[[B, T, n_h_kda, d_head_kda]]",[146],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],prefill,True
149,self_attn,,,,div,"[[B, T, n_h_kda, d_head_kda], [B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]","[133, 147]",0,self_attn,,1,model.layers.0.self_attn,aten.div.Tensor,[],prefill,True
150,self_attn,,,,linalg_vector_norm,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, 1]]",[138],0,self_attn,,1,model.layers.0.self_attn,aten.linalg_vector_norm.default,[],prefill,True
151,self_attn,,,,clamp_min,"[[B, T, n_h_kda, 1]]",,,"[[B, T, n_h_kda, 1]]",[150],0,self_attn,,1,model.layers.0.self_attn,aten.clamp_min.default,[],prefill,True
152,self_attn,,,,expand,"[[B, T, n_h_kda, 1]]",,,"[[B, T, n_h_kda, d_head_kda]]",[151],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],prefill,True
154,self_attn,,,,div,"[[B, T, n_h_kda, d_head_kda], [B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]","[138, 152]",0,self_attn,,1,model.layers.0.self_attn,aten.div.Tensor,[],prefill,True
155,self_attn,,,,_to_copy,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[149],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],prefill,True
156,self_attn,,,,_to_copy,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[154],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],prefill,True
157,self_attn,,,,_to_copy,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[143],0,self_attn,,1,model.layers.0.self_attn,aten._to_copy.default,[],prefill,True
160,self_attn,,,,unsqueeze,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, 1, d_head_kda]]",[155],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],prefill,True
162,self_attn,,,,expand,"[[B, T, n_h_kda, 1, d_head_kda]]",,,"[[B, T, n_h_kda, 1, d_head_kda]]",[160],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],prefill,True
164,self_attn,,,,clone,"[[B, T, n_h_kda, 1, d_head_kda]]",,,"[[B, T, n_h_kda, 1, d_head_kda]]",[162],0,self_attn,,1,model.layers.0.self_attn,aten.clone.default,[],prefill,True
165,self_attn,,,,view,"[[B, T, n_h_kda, 1, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[164],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
167,self_attn,,,,elementwise_mul,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[165],0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],prefill,False
168,self_attn,,,,unsqueeze,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, 1, d_head_kda]]",[156],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],prefill,True
170,self_attn,,,,expand,"[[B, T, n_h_kda, 1, d_head_kda]]",,,"[[B, T, n_h_kda, 1, d_head_kda]]",[168],0,self_attn,,1,model.layers.0.self_attn,aten.expand.default,[],prefill,True
172,self_attn,,,,clone,"[[B, T, n_h_kda, 1, d_head_kda]]",,,"[[B, T, n_h_kda, 1, d_head_kda]]",[170],0,self_attn,,1,model.layers.0.self_attn,aten.clone.default,[],prefill,True
173,self_attn,,,,view,"[[B, T, n_h_kda, 1, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[172],0,self_attn,,1,model.layers.0.self_attn,aten.view.default,[],prefill,True
175,self_attn,,,,new_zeros,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda, d_head_kda]]",[173],0,self_attn,,1,model.layers.0.self_attn,aten.new_zeros.default,[],prefill,True
178,self_attn,,,,zeros_like,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, T, n_h_kda, d_head_kda]]",[157],0,self_attn,,1,model.layers.0.self_attn,aten.zeros_like.default,[],prefill,True
181,self_attn,,,,select,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda]]",[167],0,self_attn,,1,model.layers.0.self_attn,aten.select.int,[],prefill,True
185,self_attn,,,,select,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda]]",[173],0,self_attn,,1,model.layers.0.self_attn,aten.select.int,[],prefill,True
189,self_attn,,,,select,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda]]",[157],0,self_attn,,1,model.layers.0.self_attn,aten.select.int,[],prefill,True
193,self_attn,,,,select,"[[B, T, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda]]",[120],0,self_attn,,1,model.layers.0.self_attn,aten.select.int,[],prefill,True
197,self_attn,,,,select,"[[B, T, n_h_kda]]",,,"[[B, n_h_kda]]",[129],0,self_attn,,1,model.layers.0.self_attn,aten.select.int,[],prefill,True
201,self_attn,,,,unsqueeze,"[[B, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda, 1]]",[193],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],prefill,True
203,self_attn,,,,exp,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]",[201],0,self_attn,,1,model.layers.0.self_attn,aten.exp.default,[],prefill,False
204,self_attn,,,,elementwise_mul,"[[B, n_h_kda, d_head_kda, d_head_kda], [B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, d_head_kda]]","[175, 203]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],prefill,False
207,self_attn,,,,unsqueeze,"[[B, n_h_kda]]",,,"[[B, n_h_kda, 1]]",[197],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],prefill,True
209,self_attn,,,,elementwise_mul,"[[B, n_h_kda, 1], [B, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda]]","[185, 207]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],prefill,False
212,self_attn,,,,unsqueeze,"[[B, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda, 1]]",[185],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],prefill,True
214,self_attn,,,,elementwise_mul,"[[B, n_h_kda, d_head_kda, 1], [B, n_h_kda, d_head_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda, d_head_kda]]","[204, 212]",0,self_attn,,1,model.layers.0.self_attn,aten.mul.Tensor,[],prefill,False
215,self_attn,,,,sum,"[[B, n_h_kda, d_head_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda]]",[214],0,self_attn,,1,model.layers.0.self_attn,aten.sum.dim_IntList,[],prefill,True
216,self_attn,,,,sub,"[[B, n_h_kda, d_head_kda], [B, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda]]","[189, 215]",0,self_attn,,1,model.layers.0.self_attn,aten.sub.Tensor,[],prefill,True
217,self_attn,,,,unsqueeze,"[[B, n_h_kda, d_head_kda]]",,,"[[B, n_h_kda, d_head_kda, 1]]",[209],0,self_attn,,1,model.layers.0.self_attn,aten.unsqueeze.default,[],prefill,True
219,self_attn,,,,permute,"[[B, n_h_kda, d_head_kda, 1]]",,,"[[B, n_h_kda, d_head_kda, 1]]",[217],0,self_attn,,1,model.layers.0.self_attn,aten.permute.default,[],prefill,True
