op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
11,FFN,17,"1,3,5,8,10,13,15,18,20,22,25,27,29,33,37,39,41",mixer,up_proj,matmul,"[[B, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[B, d_ff]]",[10],1,mixer,up_proj,2,model.layers.1.mixer.up_proj,aten.mm.default,[model.layers.1.mixer.up_proj.weight],decode,False
12,FFN,17,"1,3,5,8,10,13,15,18,20,22,25,27,29,33,37,39,41",mixer,act_fn,relu,"[[B, B, d_ff]]",,"[[B, B, d_ff]]",[11],1,mixer,act_fn,2,model.layers.1.mixer.act_fn,aten.relu.default,[],decode,True
13,FFN,17,"1,3,5,8,10,13,15,18,20,22,25,27,29,33,37,39,41",mixer,down_proj,matmul,"[[B, d_ff], [d_ff, d_model]]","[d_model, d_ff]","[[B, d_model]]",[12],1,mixer,down_proj,2,model.layers.1.mixer.down_proj,aten.mm.default,[model.layers.1.mixer.down_proj.weight],decode,False
14,FFN,17,"1,3,5,8,10,13,15,18,20,22,25,27,29,33,37,39,41",,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[9, 13]",1,,,0,model.layers.1,aten.add.Tensor,[],decode,False
15,attn,4,"12,17,24,32",norm,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[9],12,norm,,1,model.layers.12.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.layers.12.norm.weight],decode,False
16,attn,4,"12,17,24,32",mixer,q_proj,matmul,"[[B, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]","[[B, n_h*d_head]]",[15],12,mixer,q_proj,2,model.layers.12.mixer.q_proj,aten.mm.default,[model.layers.12.mixer.q_proj.weight],decode,False
17,attn,4,"12,17,24,32",mixer,k_proj,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]","[[B, n_kv*d_head]]",[15],12,mixer,k_proj,2,model.layers.12.mixer.k_proj,aten.mm.default,[model.layers.12.mixer.k_proj.weight],decode,False
18,attn,4,"12,17,24,32",mixer,v_proj,matmul,"[[B, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]","[[B, n_kv*d_head]]",[15],12,mixer,v_proj,2,model.layers.12.mixer.v_proj,aten.mm.default,[model.layers.12.mixer.v_proj.weight],decode,False
19,attn,4,"12,17,24,32",mixer,,batched_matmul,"[[n_h, B, d_state], [n_h, d_state, T+1]]",,"[[n_h, B, T+1]]","[16, 17]",12,mixer,,1,model.layers.12.mixer,aten.bmm.default,[],decode,False
20,attn,4,"12,17,24,32",mixer,,softmax,"[[B, n_h, B, T+1]]",,"[[B, n_h, B, T+1]]",[19],12,mixer,,1,model.layers.12.mixer,aten._safe_softmax.default,[],decode,False
21,attn,4,"12,17,24,32",mixer,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_state]]",,"[[n_h, B, d_state]]","[18, 20]",12,mixer,,1,model.layers.12.mixer,aten.bmm.default,[],decode,False
22,attn,4,"12,17,24,32",mixer,o_proj,matmul,"[[B, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]","[[B, d_model]]",[21],12,mixer,o_proj,2,model.layers.12.mixer.o_proj,aten.mm.default,[model.layers.12.mixer.o_proj.weight],decode,False
23,attn,4,"12,17,24,32",,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[9, 22]",12,,,0,model.layers.12,aten.add.Tensor,[],decode,False
24,norm,1,,model,norm_f,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[14],,other,,2,model.norm_f,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+mul,[model.norm_f.weight],decode,False
25,head,1,,lm_head,,matmul,"[[B, d_model], [d_model, V]]","[V, d_model]","[[B, V]]",[24],,other,,1,lm_head,aten.mm.default,[lm_head.weight],decode,False
