op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
32,model,rotary_emb,_to_copy,"[[3, 1, 1, T]]",,,"[[3, 1, 1, T]]",[31],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True,
33,model,rotary_emb,expand,"[[3, B, d_rope/2, 1]]",,,"[[3, B, d_rope/2, 1]]",[30],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
34,model,rotary_emb,view,"[[3, B, d_rope/2, 1]]",,,"[[3, d_rope/2, B]]",[33],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True,
35,model,rotary_emb,expand,"[[3, 1, 1, T]]",,,"[[3, 1, 1, T]]",[32],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
36,model,rotary_emb,view,"[[3, 1, 1, T]]",,,"[[3, B, T]]",[35],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True,
37,model,rotary_emb,batched_matmul,"[[3, d_rope/2, B], [3, B, T]]",,,"[[3, d_rope/2, T]]","[34, 36]",,other,,2,model.rotary_emb,aten.bmm.default,[],prefill,False,
38,model,rotary_emb,_unsafe_view,"[[3, d_rope/2, T]]",,,"[[3, B, d_rope/2, T]]",[37],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],prefill,True,
39,model,rotary_emb,transpose,"[[3, B, d_rope/2, T]]",,,"[[3, B, T, d_rope/2]]",[38],,other,,2,model.rotary_emb,aten.transpose.int,[],prefill,True,
40,model,rotary_emb,select,"[[3, B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[39],,other,,2,model.rotary_emb,aten.select.int,[],prefill,True,
41,model,rotary_emb,select,"[[3, B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[39],,other,,2,model.rotary_emb,aten.select.int,[],prefill,True,
42,model,rotary_emb,slice,"[[B, T, d_rope/2]]",,,"[[B, T, 11]]",[41],,other,,2,model.rotary_emb,aten.slice.Tensor,[],prefill,True,
43,model,rotary_emb,slice,"[[B, T, d_rope/2]]",,,"[[B, T, 11]]",[40],,other,,2,model.rotary_emb,aten.slice.Tensor,[],prefill,True,
44,model,rotary_emb,copy_,"[[B, T, 11], [B, T, 11]]",,,"[[B, T, 11]]","[42, 43]",,other,,2,model.rotary_emb,aten.copy_.default,[],prefill,True,
45,model,rotary_emb,select,"[[3, B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[39],,other,,2,model.rotary_emb,aten.select.int,[],prefill,True,
46,model,rotary_emb,slice,"[[B, T, d_rope/2]]",,,"[[B, T, 10]]",[45],,other,,2,model.rotary_emb,aten.slice.Tensor,[],prefill,True,
47,model,rotary_emb,slice,"[[B, T, d_rope/2]]",,,"[[B, T, 10]]",[40],,other,,2,model.rotary_emb,aten.slice.Tensor,[],prefill,True,
48,model,rotary_emb,copy_,"[[B, T, 10], [B, T, 10]]",,,"[[B, T, 10]]","[46, 47]",,other,,2,model.rotary_emb,aten.copy_.default,[],prefill,True,
49,model,rotary_emb,concat,"[[B, T, d_rope/2], [B, T, d_rope/2]]",,,"[[B, T, d_rope]]",[40],,other,,2,model.rotary_emb,aten.cat.default,[],prefill,False,
50,model,rotary_emb,cos,"[[B, T, d_rope]]",,,"[[B, T, d_rope]]",[49],,other,,2,model.rotary_emb,aten.cos.default,[],prefill,False,
51,model,rotary_emb,elementwise_mul,"[[B, T, d_rope]]",,,"[[B, T, d_rope]]",[50],,other,,2,model.rotary_emb,aten.mul.Tensor,[],prefill,False,
52,model,rotary_emb,sin,"[[B, T, d_rope]]",,,"[[B, T, d_rope]]",[49],,other,,2,model.rotary_emb,aten.sin.default,[],prefill,False,
53,model,rotary_emb,elementwise_mul,"[[B, T, d_rope]]",,,"[[B, T, d_rope]]",[52],,other,,2,model.rotary_emb,aten.mul.Tensor,[],prefill,False,
54,model,rotary_emb,_to_copy,"[[B, T, d_rope]]",,,"[[B, T, d_rope]]",[51],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True,
55,model,rotary_emb,_to_copy,"[[B, T, d_rope]]",,,"[[B, T, d_rope]]",[53],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True,
56,input_layernorm,,_to_copy,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[0],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[],prefill,True,
57,input_layernorm,,pow,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[56],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.pow.Tensor_Scalar,[],prefill,False,
58,input_layernorm,,mean,"[[B, T, d_model]]",,,"[[B, T, 1]]",[57],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mean.dim,[],prefill,False,
59,input_layernorm,,elementwise_add,"[[B, T, 1]]",,,"[[B, T, 1]]",[58],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.add.Tensor,[],prefill,False,
60,input_layernorm,,rsqrt,"[[B, T, 1]]",,,"[[B, T, 1]]",[59],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.rsqrt.default,[],prefill,False,
61,input_layernorm,,elementwise_mul,"[[B, T, d_model], [B, T, 1]]",,,"[[B, T, d_model]]","[56, 60]",0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[],prefill,False,
62,input_layernorm,,_to_copy,[[d_model]],,,[[d_model]],[],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[model.layers.0.input_layernorm.weight],prefill,True,
63,input_layernorm,,elementwise_add,[[d_model]],,,[[d_model]],[62],0,input_layernorm,,1,model.layers.0.input_layernorm,aten.add.Tensor,[model.layers.0.input_layernorm.weight],prefill,False,
64,input_layernorm,,elementwise_mul,"[[B, T, d_model], [d_model]]",,,"[[B, T, d_model]]","[61, 63]",0,input_layernorm,,1,model.layers.0.input_layernorm,aten.mul.Tensor,[],prefill,False,
65,input_layernorm,,_to_copy,"[[B, T, d_model]]",,,"[[B, T, d_model]]",[64],0,input_layernorm,,1,model.layers.0.input_layernorm,aten._to_copy.default,[],prefill,True,
66,linear_attn,in_proj_qkv,t,"[[2*d_k_lin+d_v_lin, d_model]]","[2*d_k_lin+d_v_lin, d_model]",0,"[[d_model, 2*d_k_lin+d_v_lin]]",[],0,linear_attn,in_proj_qkv,2,model.layers.0.linear_attn.in_proj_qkv,aten.t.default,[model.layers.0.linear_attn.in_proj_qkv.weight],prefill,True,
67,linear_attn,in_proj_qkv,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[65],0,linear_attn,in_proj_qkv,2,model.layers.0.linear_attn.in_proj_qkv,aten.view.default,[],prefill,True,
68,linear_attn,in_proj_qkv,matmul,"[[T, d_model], [d_model, 2*d_k_lin+d_v_lin]]","[2*d_k_lin+d_v_lin, d_model]",1,"[[T, 2*d_k_lin+d_v_lin]]","[66, 67]",0,linear_attn,in_proj_qkv,2,model.layers.0.linear_attn.in_proj_qkv,aten.mm.default,[model.layers.0.linear_attn.in_proj_qkv.weight],prefill,False,
69,linear_attn,in_proj_qkv,_unsafe_view,"[[T, 2*d_k_lin+d_v_lin]]",,,"[[B, T, 2*d_k_lin+d_v_lin]]",[68],0,linear_attn,in_proj_qkv,2,model.layers.0.linear_attn.in_proj_qkv,aten._unsafe_view.default,[],prefill,True,
70,linear_attn,,transpose,"[[B, T, 2*d_k_lin+d_v_lin]]",,,"[[B, 2*d_k_lin+d_v_lin, T]]",[69],0,linear_attn,,1,model.layers.0.linear_attn,aten.transpose.int,[],prefill,True,
71,linear_attn,in_proj_z,t,"[[n_v*d_v, d_model]]","[n_v*d_v, d_model]",0,"[[d_model, n_v*d_v]]",[],0,linear_attn,in_proj_z,2,model.layers.0.linear_attn.in_proj_z,aten.t.default,[model.layers.0.linear_attn.in_proj_z.weight],prefill,True,
72,linear_attn,in_proj_z,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[65],0,linear_attn,in_proj_z,2,model.layers.0.linear_attn.in_proj_z,aten.view.default,[],prefill,True,
73,linear_attn,in_proj_z,matmul,"[[T, d_model], [d_model, n_v*d_v]]","[n_v*d_v, d_model]",1,"[[T, n_v*d_v]]","[71, 72]",0,linear_attn,in_proj_z,2,model.layers.0.linear_attn.in_proj_z,aten.mm.default,[model.layers.0.linear_attn.in_proj_z.weight],prefill,False,
74,linear_attn,in_proj_z,_unsafe_view,"[[T, n_v*d_v]]",,,"[[B, T, n_v*d_v]]",[73],0,linear_attn,in_proj_z,2,model.layers.0.linear_attn.in_proj_z,aten._unsafe_view.default,[],prefill,True,
75,linear_attn,,view,"[[B, T, n_v*d_v]]",,,"[[B, T, n_h_lin_v, d_head_lin_v]]",[74],0,linear_attn,,1,model.layers.0.linear_attn,aten.view.default,[],prefill,True,
76,linear_attn,in_proj_b,t,"[[n_h_lin_v, d_model]]","[n_h_lin_v, d_model]",0,"[[d_model, n_h_lin_v]]",[],0,linear_attn,in_proj_b,2,model.layers.0.linear_attn.in_proj_b,aten.t.default,[model.layers.0.linear_attn.in_proj_b.weight],prefill,True,
77,linear_attn,in_proj_b,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[65],0,linear_attn,in_proj_b,2,model.layers.0.linear_attn.in_proj_b,aten.view.default,[],prefill,True,
78,linear_attn,in_proj_b,matmul,"[[T, d_model], [d_model, n_h_lin_v]]","[n_h_lin_v, d_model]",1,"[[T, n_h_lin_v]]","[76, 77]",0,linear_attn,in_proj_b,2,model.layers.0.linear_attn.in_proj_b,aten.mm.default,[model.layers.0.linear_attn.in_proj_b.weight],prefill,False,
79,linear_attn,in_proj_b,_unsafe_view,"[[T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[78],0,linear_attn,in_proj_b,2,model.layers.0.linear_attn.in_proj_b,aten._unsafe_view.default,[],prefill,True,
80,linear_attn,in_proj_a,t,"[[n_h_lin_v, d_model]]","[n_h_lin_v, d_model]",0,"[[d_model, n_h_lin_v]]",[],0,linear_attn,in_proj_a,2,model.layers.0.linear_attn.in_proj_a,aten.t.default,[model.layers.0.linear_attn.in_proj_a.weight],prefill,True,
81,linear_attn,in_proj_a,view,"[[B, T, d_model]]",,,"[[T, d_model]]",[65],0,linear_attn,in_proj_a,2,model.layers.0.linear_attn.in_proj_a,aten.view.default,[],prefill,True,
82,linear_attn,in_proj_a,matmul,"[[T, d_model], [d_model, n_h_lin_v]]","[n_h_lin_v, d_model]",1,"[[T, n_h_lin_v]]","[80, 81]",0,linear_attn,in_proj_a,2,model.layers.0.linear_attn.in_proj_a,aten.mm.default,[model.layers.0.linear_attn.in_proj_a.weight],prefill,False,
83,linear_attn,in_proj_a,_unsafe_view,"[[T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[82],0,linear_attn,in_proj_a,2,model.layers.0.linear_attn.in_proj_a,aten._unsafe_view.default,[],prefill,True,
84,linear_attn,,constant_pad_nd,"[[B, 2*d_k_lin+d_v_lin, T]]",,,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin]]",[70],0,linear_attn,,1,model.layers.0.linear_attn,aten.constant_pad_nd.default,[],prefill,True,
85,linear_attn,,zeros,[],,,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin]]",[],0,linear_attn,,1,model.layers.0.linear_attn,aten.zeros.default,[],prefill,True,
86,linear_attn,,slice,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin]]",,,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin]]",[84],0,linear_attn,,1,model.layers.0.linear_attn,aten.slice.Tensor,[],prefill,True,
87,linear_attn,,copy_,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin], [B, 2*d_k_lin+d_v_lin, d_conv_lin]]",,,"[[B, 2*d_k_lin+d_v_lin, d_conv_lin]]","[85, 86]",0,linear_attn,,1,model.layers.0.linear_attn,aten.copy_.default,[],prefill,True,
88,linear_attn,conv1d,conv1d,"[[B, 2*d_k_lin+d_v_lin, T], [2*d_k_lin+d_v_lin, 1, d_conv_lin]]","[2*d_k_lin+d_v_lin, 1, d_conv_lin]",1,"[[B, 2*d_k_lin+d_v_lin, T+d_conv_lin-1]]",[70],0,linear_attn,conv1d,2,model.layers.0.linear_attn.conv1d,aten.convolution.default,[model.layers.0.linear_attn.conv1d.weight],prefill,False,
89,linear_attn,,slice,"[[B, 2*d_k_lin+d_v_lin, T+d_conv_lin-1]]",,,"[[B, 2*d_k_lin+d_v_lin, T]]",[88],0,linear_attn,,1,model.layers.0.linear_attn,aten.slice.Tensor,[],prefill,True,
90,linear_attn,,silu,"[[B, 2*d_k_lin+d_v_lin, T]]",,,"[[B, 2*d_k_lin+d_v_lin, T]]",[89],0,linear_attn,,1,model.layers.0.linear_attn,aten.silu.default,[],prefill,False,
91,linear_attn,,transpose,"[[B, 2*d_k_lin+d_v_lin, T]]",,,"[[B, T, 2*d_k_lin+d_v_lin]]",[90],0,linear_attn,,1,model.layers.0.linear_attn,aten.transpose.int,[],prefill,True,
92,linear_attn,,split_with_sizes,"[[B, T, 2*d_k_lin+d_v_lin]]",,,"[[B, T, n_k*d_k], [B, T, n_k*d_k], [B, T, n_v*d_v]]",[91],0,linear_attn,,1,model.layers.0.linear_attn,aten.split_with_sizes.default,[],prefill,True,
93,linear_attn,,view,"[[B, T, n_k*d_k]]",,,"[[B, T, n_h_lin_k, d_head_lin_k]]",[92],0,linear_attn,,1,model.layers.0.linear_attn,aten.view.default,[],prefill,True,
94,linear_attn,,view,"[[B, T, n_k*d_k]]",,,"[[B, T, n_h_lin_k, d_head_lin_k]]",[92],0,linear_attn,,1,model.layers.0.linear_attn,aten.view.default,[],prefill,True,
95,linear_attn,,view,"[[B, T, n_v*d_v]]",,,"[[B, T, n_h_lin_v, d_head_lin_v]]",[92],0,linear_attn,,1,model.layers.0.linear_attn,aten.view.default,[],prefill,True,
96,linear_attn,,sigmoid,"[[B, T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[79],0,linear_attn,,1,model.layers.0.linear_attn,aten.sigmoid.default,[],prefill,False,
97,linear_attn,,_to_copy,[[n_h_lin_v]],,,[[n_h_lin_v]],[],0,linear_attn,,1,model.layers.0.linear_attn,aten._to_copy.default,[model.layers.0.linear_attn.A_log],prefill,True,
98,linear_attn,,exp,[[n_h_lin_v]],,,[[n_h_lin_v]],[97],0,linear_attn,,1,model.layers.0.linear_attn,aten.exp.default,[model.layers.0.linear_attn.A_log],prefill,False,
99,linear_attn,,neg,[[n_h_lin_v]],,,[[n_h_lin_v]],[98],0,linear_attn,,1,model.layers.0.linear_attn,aten.neg.default,[],prefill,False,
100,linear_attn,,_to_copy,"[[B, T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[83],0,linear_attn,,1,model.layers.0.linear_attn,aten._to_copy.default,[],prefill,True,
101,linear_attn,,elementwise_add,"[[B, T, n_h_lin_v], [n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[100],0,linear_attn,,1,model.layers.0.linear_attn,aten.add.Tensor,[model.layers.0.linear_attn.dt_bias],prefill,False,
102,linear_attn,,softplus,"[[B, T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]",[101],0,linear_attn,,1,model.layers.0.linear_attn,aten.softplus.default,[],prefill,True,
103,linear_attn,,elementwise_mul,"[[n_h_lin_v], [B, T, n_h_lin_v]]",,,"[[B, T, n_h_lin_v]]","[99, 102]",0,linear_attn,,1,model.layers.0.linear_attn,aten.mul.Tensor,[],prefill,False,
104,linear_attn,,unsqueeze,"[[B, T, n_h_lin_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, 1, d_head_lin_k]]",[93],0,linear_attn,,1,model.layers.0.linear_attn,aten.unsqueeze.default,[],prefill,True,
105,linear_attn,,expand,"[[B, T, n_h_lin_k, 1, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",[104],0,linear_attn,,1,model.layers.0.linear_attn,aten.expand.default,[],prefill,True,
106,linear_attn,,clone,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",[105],0,linear_attn,,1,model.layers.0.linear_attn,aten.clone.default,[],prefill,True,
107,linear_attn,,view,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]",[106],0,linear_attn,,1,model.layers.0.linear_attn,aten.view.default,[],prefill,True,
108,linear_attn,,unsqueeze,"[[B, T, n_h_lin_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, 1, d_head_lin_k]]",[94],0,linear_attn,,1,model.layers.0.linear_attn,aten.unsqueeze.default,[],prefill,True,
109,linear_attn,,expand,"[[B, T, n_h_lin_k, 1, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",[108],0,linear_attn,,1,model.layers.0.linear_attn,aten.expand.default,[],prefill,True,
110,linear_attn,,clone,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",[109],0,linear_attn,,1,model.layers.0.linear_attn,aten.clone.default,[],prefill,True,
111,linear_attn,,view,"[[B, T, n_h_lin_k, n_v/n_k, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]",[110],0,linear_attn,,1,model.layers.0.linear_attn,aten.view.default,[],prefill,True,
112,linear_attn,,elementwise_mul,"[[B, T, n_h_lin_v, d_head_lin_k], [B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]",[107],0,linear_attn,,1,model.layers.0.linear_attn,aten.mul.Tensor,[],prefill,False,
113,linear_attn,,sum,"[[B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, 1]]",[112],0,linear_attn,,1,model.layers.0.linear_attn,aten.sum.dim_IntList,[],prefill,True,
114,linear_attn,,elementwise_add,"[[B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, 1]]",[113],0,linear_attn,,1,model.layers.0.linear_attn,aten.add.Tensor,[],prefill,False,
115,linear_attn,,rsqrt,"[[B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, 1]]",[114],0,linear_attn,,1,model.layers.0.linear_attn,aten.rsqrt.default,[],prefill,False,
116,linear_attn,,elementwise_mul,"[[B, T, n_h_lin_v, d_head_lin_k], [B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]","[107, 115]",0,linear_attn,,1,model.layers.0.linear_attn,aten.mul.Tensor,[],prefill,False,
117,linear_attn,,elementwise_mul,"[[B, T, n_h_lin_v, d_head_lin_k], [B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]",[111],0,linear_attn,,1,model.layers.0.linear_attn,aten.mul.Tensor,[],prefill,False,
118,linear_attn,,sum,"[[B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, T, n_h_lin_v, 1]]",[117],0,linear_attn,,1,model.layers.0.linear_attn,aten.sum.dim_IntList,[],prefill,True,
119,linear_attn,,elementwise_add,"[[B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, 1]]",[118],0,linear_attn,,1,model.layers.0.linear_attn,aten.add.Tensor,[],prefill,False,
120,linear_attn,,rsqrt,"[[B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, 1]]",[119],0,linear_attn,,1,model.layers.0.linear_attn,aten.rsqrt.default,[],prefill,False,
121,linear_attn,,elementwise_mul,"[[B, T, n_h_lin_v, d_head_lin_k], [B, T, n_h_lin_v, 1]]",,,"[[B, T, n_h_lin_v, d_head_lin_k]]","[111, 120]",0,linear_attn,,1,model.layers.0.linear_attn,aten.mul.Tensor,[],prefill,False,
122,linear_attn,,transpose,"[[B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[116],0,linear_attn,,1,model.layers.0.linear_attn,aten.transpose.int,[],prefill,True,
123,linear_attn,,clone,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[122],0,linear_attn,,1,model.layers.0.linear_attn,aten.clone.default,[],prefill,True,
124,linear_attn,,_to_copy,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[123],0,linear_attn,,1,model.layers.0.linear_attn,aten._to_copy.default,[],prefill,True,
125,linear_attn,,transpose,"[[B, T, n_h_lin_v, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[121],0,linear_attn,,1,model.layers.0.linear_attn,aten.transpose.int,[],prefill,True,
126,linear_attn,,clone,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[125],0,linear_attn,,1,model.layers.0.linear_attn,aten.clone.default,[],prefill,True,
127,linear_attn,,_to_copy,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, T, d_head_lin_k]]",[126],0,linear_attn,,1,model.layers.0.linear_attn,aten._to_copy.default,[],prefill,True,
128,linear_attn,,transpose,"[[B, T, n_h_lin_v, d_head_lin_v]]",,,"[[B, n_h_lin_v, T, d_head_lin_v]]",[95],0,linear_attn,,1,model.layers.0.linear_attn,aten.transpose.int,[],prefill,True,
129,linear_attn,,clone,"[[B, n_h_lin_v, T, d_head_lin_v]]",,,"[[B, n_h_lin_v, T, d_head_lin_v]]",[128],0,linear_attn,,1,model.layers.0.linear_attn,aten.clone.default,[],prefill,True,
130,linear_attn,,_to_copy,"[[B, n_h_lin_v, T, d_head_lin_v]]",,,"[[B, n_h_lin_v, T, d_head_lin_v]]",[129],0,linear_attn,,1,model.layers.0.linear_attn,aten._to_copy.default,[],prefill,True,
131,linear_attn,,transpose,"[[B, T, n_h_lin_v]]",,,"[[B, n_h_lin_v, T]]",[96],0,linear_attn,,1,model.layers.0.linear_attn,aten.transpose.int,[],prefill,True,
132,linear_attn,,clone,"[[B, n_h_lin_v, T]]",,,"[[B, n_h_lin_v, T]]",[131],0,linear_attn,,1,model.layers.0.linear_attn,aten.clone.default,[],prefill,True,
133,linear_attn,,_to_copy,"[[B, n_h_lin_v, T]]",,,"[[B, n_h_lin_v, T]]",[132],0,linear_attn,,1,model.layers.0.linear_attn,aten._to_copy.default,[],prefill,True,
134,linear_attn,,transpose,"[[B, T, n_h_lin_v]]",,,"[[B, n_h_lin_v, T]]",[103],0,linear_attn,,1,model.layers.0.linear_attn,aten.transpose.int,[],prefill,True,
135,linear_attn,,clone,"[[B, n_h_lin_v, T]]",,,"[[B, n_h_lin_v, T]]",[134],0,linear_attn,,1,model.layers.0.linear_attn,aten.clone.default,[],prefill,True,
136,linear_attn,,constant_pad_nd,"[[B, n_h_lin_v, T, d_head_lin_k]]",,,"[[B, n_h_lin_v, d_chunk, d_head_lin_k]]",[124],0,linear_attn,,1,model.layers.0.linear_attn,aten.constant_pad_nd.default,[],prefill,True,
