op_id,block_type,repeat,layers,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
38,attn+FFN,1,5,mamba_decoder,mamba,,,,exp,[[d_head_ssm]],,[[d_head_ssm]],[],5,mamba_decoder,mamba,2,model.layers.5.mamba_decoder.mamba,aten.exp.default,[model.layers.5.mamba_decoder.mamba.A_log],decode,False
39,attn+FFN,1,5,mamba_decoder,mamba,,,,exp,"[[B, d_head_ssm, n_h_ssm, d_state]]",,"[[B, d_head_ssm, n_h_ssm, d_state]]","[36, 38]",5,mamba_decoder,mamba,2,model.layers.5.mamba_decoder.mamba,aten.exp.default,[],decode,False
40,attn+FFN,1,5,mamba_decoder,mamba,,,,batched_matmul,"[[d_head_ssm, n_h_ssm, d_state], [d_head_ssm, d_state, B]]",,"[[d_head_ssm, n_h_ssm, B]]","[36, 37, 39]",5,mamba_decoder,mamba,2,model.layers.5.mamba_decoder.mamba,aten.bmm.default,[],decode,False
41,attn+FFN,1,5,mamba_decoder,mamba,norm,,,rmsnorm,"[[B, B, d_inner]]",[d_inner],"[[B, B, d_inner]]","[36, 37, 40]",5,mamba_decoder,mamba,3,model.layers.5.mamba_decoder.mamba.norm,silu+mul+view+pow+mean+add+rsqrt+mul+view+mul,[model.layers.5.mamba_decoder.mamba.norm.weight],decode,False
42,attn+FFN,1,5,mamba_decoder,mamba,out_proj,,,matmul,"[[B, d_inner], [d_inner, d_model]]","[d_model, d_inner]","[[B, d_model]]",[41],5,mamba_decoder,mamba,3,model.layers.5.mamba_decoder.mamba.out_proj,aten.mm.default,[model.layers.5.mamba_decoder.mamba.out_proj.weight],decode,False
43,attn+FFN,1,5,mamba_decoder,,,,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[9, 42]",5,mamba_decoder,,1,model.layers.5.mamba_decoder,aten.add.Tensor,[],decode,False
44,attn+FFN,1,11,shared_transformer,,,,,concat,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_attn]]","[0, 9]",11,shared_transformer,,1,model.layers.11.shared_transformer,aten.cat.default,[],decode,False
45,attn+FFN,1,11,shared_transformer,input_layernorm,,,,rmsnorm,"[[B, B, d_attn]]",[d_attn],"[[B, B, d_attn]]",[44],11,shared_transformer,input_layernorm,2,model.layers.11.shared_transformer.input_layernorm,pow+mean+add+rsqrt+mul+mul,[model.layers.5.shared_transformer.input_layernorm.weight],decode,False
46,attn+FFN,1,11,shared_transformer,self_attn,q_proj,,,matmul,"[[B, d_attn], [d_attn, n_h*d_head]]","[n_h*d_head, d_attn]","[[B, d_attn]]",[45],11,shared_transformer,self_attn,3,model.layers.11.shared_transformer.self_attn.q_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.q_proj.weight],decode,False
47,attn+FFN,1,11,shared_transformer,self_attn,k_proj,,,matmul,"[[B, d_attn], [d_attn, n_h*d_head]]","[n_h*d_head, d_attn]","[[B, d_attn]]",[45],11,shared_transformer,self_attn,3,model.layers.11.shared_transformer.self_attn.k_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.k_proj.weight],decode,False
48,attn+FFN,1,11,shared_transformer,self_attn,v_proj,,,matmul,"[[B, d_attn], [d_attn, n_h*d_head]]","[n_h*d_head, d_attn]","[[B, d_attn]]",[45],11,shared_transformer,self_attn,3,model.layers.11.shared_transformer.self_attn.v_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.v_proj.weight],decode,False
49,attn+FFN,1,11,shared_transformer,self_attn,linear_q_adapter_list,1,0,matmul,"[[B, d_attn], [d_attn, d_head]]","[d_head, d_attn]","[[B, d_head]]",[45],11,shared_transformer,self_attn,5,model.layers.11.shared_transformer.self_attn.linear_q_adapter_list.1.0,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_q_adapter_list.1.0.weight],decode,False
50,attn+FFN,1,11,shared_transformer,self_attn,linear_q_adapter_list,1,1,matmul,"[[B, d_head], [d_head, d_attn]]","[d_attn, d_head]","[[B, d_attn]]",[49],11,shared_transformer,self_attn,5,model.layers.11.shared_transformer.self_attn.linear_q_adapter_list.1.1,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_q_adapter_list.1.1.weight],decode,False
51,attn+FFN,1,11,shared_transformer,self_attn,linear_k_adapter_list,1,0,matmul,"[[B, d_attn], [d_attn, d_head]]","[d_head, d_attn]","[[B, d_head]]",[45],11,shared_transformer,self_attn,5,model.layers.11.shared_transformer.self_attn.linear_k_adapter_list.1.0,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_k_adapter_list.1.0.weight],decode,False
52,attn+FFN,1,11,shared_transformer,self_attn,linear_k_adapter_list,1,1,matmul,"[[B, d_head], [d_head, d_attn]]","[d_attn, d_head]","[[B, d_attn]]",[51],11,shared_transformer,self_attn,5,model.layers.11.shared_transformer.self_attn.linear_k_adapter_list.1.1,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_k_adapter_list.1.1.weight],decode,False
53,attn+FFN,1,11,shared_transformer,self_attn,linear_v_adapter_list,1,0,matmul,"[[B, d_attn], [d_attn, d_head]]","[d_head, d_attn]","[[B, d_head]]",[45],11,shared_transformer,self_attn,5,model.layers.11.shared_transformer.self_attn.linear_v_adapter_list.1.0,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_v_adapter_list.1.0.weight],decode,False
54,attn+FFN,1,11,shared_transformer,self_attn,linear_v_adapter_list,1,1,matmul,"[[B, d_head], [d_head, d_attn]]","[d_attn, d_head]","[[B, d_attn]]",[53],11,shared_transformer,self_attn,5,model.layers.11.shared_transformer.self_attn.linear_v_adapter_list.1.1,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_v_adapter_list.1.1.weight],decode,False
55,attn+FFN,1,11,shared_transformer,self_attn,,,,batched_matmul,"[[n_h, B, d_head], [n_h, d_head, T+1]]",,"[[n_h, B, T+1]]","[46, 47, 50, 52]",11,shared_transformer,self_attn,2,model.layers.11.shared_transformer.self_attn,aten.bmm.default,[],decode,False
56,attn+FFN,1,11,shared_transformer,self_attn,,,,softmax,"[[B, n_h, B, T+1]]",,"[[B, n_h, B, T+1]]",[55],11,shared_transformer,self_attn,2,model.layers.11.shared_transformer.self_attn,aten._safe_softmax.default,[],decode,False
57,attn+FFN,1,11,shared_transformer,self_attn,,,,batched_matmul,"[[n_h, B, T+1], [n_h, T+1, d_head]]",,"[[n_h, B, d_head]]","[48, 54, 56]",11,shared_transformer,self_attn,2,model.layers.11.shared_transformer.self_attn,aten.bmm.default,[],decode,False
58,attn+FFN,1,11,shared_transformer,self_attn,o_proj,,,matmul,"[[B, d_attn], [d_attn, d_model]]","[d_model, d_attn]","[[B, d_model]]",[57],11,shared_transformer,self_attn,3,model.layers.11.shared_transformer.self_attn.o_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.o_proj.weight],decode,False
59,attn+FFN,1,11,shared_transformer,pre_ff_layernorm,,,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[58],11,shared_transformer,pre_ff_layernorm,2,model.layers.11.shared_transformer.pre_ff_layernorm,pow+mean+add+rsqrt+mul+mul,[model.layers.5.shared_transformer.pre_ff_layernorm.weight],decode,False
60,attn+FFN,1,11,shared_transformer,feed_forward,gate_up_proj,,,matmul,"[[B, d_model], [d_model, 2*d_ff]]","[2*d_ff, d_model]","[[B, 2*d_ff]]",[59],11,shared_transformer,feed_forward,3,model.layers.11.shared_transformer.feed_forward.gate_up_proj,aten.mm.default,[model.layers.5.shared_transformer.feed_forward.gate_up_proj.weight],decode,False
61,attn+FFN,1,11,shared_transformer,feed_forward,gate_up_proj_adapter_list,1,0,matmul,"[[B, d_model], [d_model, r_lora]]","[r_lora, d_model]","[[B, r_lora]]",[59],11,shared_transformer,feed_forward,5,model.layers.11.shared_transformer.feed_forward.gate_up_proj_adapter_list.1.0,aten.mm.default,[model.layers.5.shared_transformer.feed_forward.gate_up_proj_adapter_list.1.0.weight],decode,False
62,attn+FFN,1,11,shared_transformer,feed_forward,gate_up_proj_adapter_list,1,1,matmul,"[[B, r_lora], [r_lora, 2*d_ff]]","[2*d_ff, r_lora]","[[B, 2*d_ff]]",[61],11,shared_transformer,feed_forward,5,model.layers.11.shared_transformer.feed_forward.gate_up_proj_adapter_list.1.1,aten.mm.default,[model.layers.5.shared_transformer.feed_forward.gate_up_proj_adapter_list.1.1.weight],decode,False
63,attn+FFN,1,11,shared_transformer,feed_forward,,,,elementwise_add,"[[B, B, 2*d_ff], [B, B, 2*d_ff]]",,"[[B, B, 2*d_ff]]","[60, 62]",11,shared_transformer,feed_forward,2,model.layers.11.shared_transformer.feed_forward,aten.add.Tensor,[],decode,False
64,attn+FFN,1,11,shared_transformer,feed_forward,act_fn,,,gelu,"[[B, B, d_ff]]",,"[[B, B, d_ff]]",[63],11,shared_transformer,feed_forward,3,model.layers.11.shared_transformer.feed_forward.act_fn,aten.gelu.default,[],decode,False
65,attn+FFN,1,11,shared_transformer,feed_forward,,,,elementwise_mul,"[[B, B, d_ff], [B, B, d_ff]]",,"[[B, B, d_ff]]","[63, 64]",11,shared_transformer,feed_forward,2,model.layers.11.shared_transformer.feed_forward,aten.mul.Tensor,[],decode,False
66,attn+FFN,1,11,shared_transformer,feed_forward,down_proj,,,matmul,"[[B, d_ff], [d_ff, d_model]]","[d_model, d_ff]","[[B, d_model]]",[65],11,shared_transformer,feed_forward,3,model.layers.11.shared_transformer.feed_forward.down_proj,aten.mm.default,[model.layers.5.shared_transformer.feed_forward.down_proj.weight],decode,False
67,attn+FFN,1,11,linear,,,,,matmul,"[[B, d_model], [d_model, d_model]]","[d_model, d_model]","[[B, d_model]]",[66],11,linear,,1,model.layers.11.linear,aten.mm.default,[model.layers.11.linear.weight],decode,False
68,attn+FFN,1,11,mamba_decoder,,,,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[9, 67]",11,mamba_decoder,,1,model.layers.11.mamba_decoder,aten.add.Tensor,[],decode,False
69,attn+FFN,1,11,mamba_decoder,input_layernorm,,,,rmsnorm,"[[B, B, d_model]]",[d_model],"[[B, B, d_model]]",[68],11,mamba_decoder,input_layernorm,2,model.layers.11.mamba_decoder.input_layernorm,pow+mean+add+rsqrt+mul+mul,[model.layers.11.mamba_decoder.input_layernorm.weight],decode,False
70,attn+FFN,1,11,mamba_decoder,mamba,in_proj,,,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]","[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[69],11,mamba_decoder,mamba,3,model.layers.11.mamba_decoder.mamba.in_proj,aten.mm.default,[model.layers.11.mamba_decoder.mamba.in_proj.weight],decode,False
71,attn+FFN,1,11,mamba_decoder,mamba,act,,,silu,"[[B, d_inner+2*n_g*d_state]]",,"[[B, d_inner+2*n_g*d_state]]",[70],11,mamba_decoder,mamba,3,model.layers.11.mamba_decoder.mamba.act,aten.silu.default,[],decode,False
72,attn+FFN,1,11,mamba_decoder,mamba,,,,exp,[[d_head_ssm]],,[[d_head_ssm]],[],11,mamba_decoder,mamba,2,model.layers.11.mamba_decoder.mamba,aten.exp.default,[model.layers.11.mamba_decoder.mamba.A_log],decode,False
73,attn+FFN,1,11,mamba_decoder,mamba,,,,exp,"[[B, d_head_ssm, n_h_ssm, d_state]]",,"[[B, d_head_ssm, n_h_ssm, d_state]]","[70, 72]",11,mamba_decoder,mamba,2,model.layers.11.mamba_decoder.mamba,aten.exp.default,[],decode,False
74,attn+FFN,1,11,mamba_decoder,mamba,,,,batched_matmul,"[[d_head_ssm, n_h_ssm, d_state], [d_head_ssm, d_state, B]]",,"[[d_head_ssm, n_h_ssm, B]]","[70, 71, 73]",11,mamba_decoder,mamba,2,model.layers.11.mamba_decoder.mamba,aten.bmm.default,[],decode,False
75,attn+FFN,1,11,mamba_decoder,mamba,norm,,,rmsnorm,"[[B, B, d_inner]]",[d_inner],"[[B, B, d_inner]]","[70, 71, 74]",11,mamba_decoder,mamba,3,model.layers.11.mamba_decoder.mamba.norm,silu+mul+view+pow+mean+add+rsqrt+mul+view+mul,[model.layers.11.mamba_decoder.mamba.norm.weight],decode,False
76,attn+FFN,1,11,mamba_decoder,mamba,out_proj,,,matmul,"[[B, d_inner], [d_inner, d_model]]","[d_model, d_inner]","[[B, d_model]]",[75],11,mamba_decoder,mamba,3,model.layers.11.mamba_decoder.mamba.out_proj,aten.mm.default,[model.layers.11.mamba_decoder.mamba.out_proj.weight],decode,False
77,attn+FFN,1,11,mamba_decoder,,,,,elementwise_add,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_model]]","[9, 76]",11,mamba_decoder,,1,model.layers.11.mamba_decoder,aten.add.Tensor,[],decode,False
78,attn+FFN,1,17,shared_transformer,,,,,concat,"[[B, B, d_model], [B, B, d_model]]",,"[[B, B, d_attn]]","[0, 9]",17,shared_transformer,,1,model.layers.17.shared_transformer,aten.cat.default,[],decode,False
79,attn+FFN,1,17,shared_transformer,input_layernorm,,,,rmsnorm,"[[B, B, d_attn]]",[d_attn],"[[B, B, d_attn]]",[78],17,shared_transformer,input_layernorm,2,model.layers.17.shared_transformer.input_layernorm,pow+mean+add+rsqrt+mul+mul,[model.layers.5.shared_transformer.input_layernorm.weight],decode,False
80,attn+FFN,1,17,shared_transformer,self_attn,q_proj,,,matmul,"[[B, d_attn], [d_attn, n_h*d_head]]","[n_h*d_head, d_attn]","[[B, d_attn]]",[79],17,shared_transformer,self_attn,3,model.layers.17.shared_transformer.self_attn.q_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.q_proj.weight],decode,False
81,attn+FFN,1,17,shared_transformer,self_attn,k_proj,,,matmul,"[[B, d_attn], [d_attn, n_h*d_head]]","[n_h*d_head, d_attn]","[[B, d_attn]]",[79],17,shared_transformer,self_attn,3,model.layers.17.shared_transformer.self_attn.k_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.k_proj.weight],decode,False
82,attn+FFN,1,17,shared_transformer,self_attn,v_proj,,,matmul,"[[B, d_attn], [d_attn, n_h*d_head]]","[n_h*d_head, d_attn]","[[B, d_attn]]",[79],17,shared_transformer,self_attn,3,model.layers.17.shared_transformer.self_attn.v_proj,aten.mm.default,[model.layers.5.shared_transformer.self_attn.v_proj.weight],decode,False
83,attn+FFN,1,17,shared_transformer,self_attn,linear_q_adapter_list,2,0,matmul,"[[B, d_attn], [d_attn, d_head]]","[d_head, d_attn]","[[B, d_head]]",[79],17,shared_transformer,self_attn,5,model.layers.17.shared_transformer.self_attn.linear_q_adapter_list.2.0,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_q_adapter_list.2.0.weight],decode,False
84,attn+FFN,1,17,shared_transformer,self_attn,linear_q_adapter_list,2,1,matmul,"[[B, d_head], [d_head, d_attn]]","[d_attn, d_head]","[[B, d_attn]]",[83],17,shared_transformer,self_attn,5,model.layers.17.shared_transformer.self_attn.linear_q_adapter_list.2.1,aten.mm.default,[model.layers.5.shared_transformer.self_attn.linear_q_adapter_list.2.1.weight],decode,False
