op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
11,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[1, 10]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
12,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",pre_feedforward_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[11],0,pre_feedforward_layernorm,,1,model.layers.0.pre_feedforward_layernorm,pow+mean+add+rsqrt+mul+add+mul,[model.layers.0.pre_feedforward_layernorm.weight],prefill,False
13,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",mlp,gate_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[12],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],prefill,False
14,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",mlp,act_fn,gelu,"[[B, T, d_ff]]",,"[[B, T, d_ff]]",[13],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.gelu.default,[],prefill,False
15,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",mlp,up_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[12],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],prefill,False
16,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",mlp,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,"[[B, T, d_ff]]","[14, 15]",0,mlp,,1,model.layers.0.mlp,aten.mul.Tensor,[],prefill,False
17,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",mlp,down_proj,matmul,"[[T, d_ff], [d_ff, d_model]]","[d_model, d_ff]","[[T, d_model]]",[16],0,mlp,down_proj,2,model.layers.0.mlp.down_proj,aten.mm.default,[model.layers.0.mlp.down_proj.weight],prefill,False
18,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",post_feedforward_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[17],0,post_feedforward_layernorm,,1,model.layers.0.post_feedforward_layernorm,pow+mean+add+rsqrt+mul+add+mul,[model.layers.0.post_feedforward_layernorm.weight],prefill,False
19,attn+FFN,13,"0,2,4,6,8,10,12,14,16,18,20,22,24",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[11, 18]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
20,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",input_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[19],1,input_layernorm,,1,model.layers.1.input_layernorm,pow+mean+add+rsqrt+mul+add+mul,[model.layers.1.input_layernorm.weight],prefill,False
21,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",self_attn,q_proj,matmul,"[[n_h*d_head, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]","[[n_h*d_head, n_h*d_head]]",[20],1,self_attn,q_proj,2,model.layers.1.self_attn.q_proj,aten.mm.default,[model.layers.1.self_attn.q_proj.weight],prefill,False
22,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",self_attn,k_proj,matmul,"[[n_h*d_head, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]","[[n_h*d_head, n_kv*d_head]]",[20],1,self_attn,k_proj,2,model.layers.1.self_attn.k_proj,aten.mm.default,[model.layers.1.self_attn.k_proj.weight],prefill,False
23,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",self_attn,v_proj,matmul,"[[n_h*d_head, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]","[[n_h*d_head, n_kv*d_head]]",[20],1,self_attn,v_proj,2,model.layers.1.self_attn.v_proj,aten.mm.default,[model.layers.1.self_attn.v_proj.weight],prefill,False
24,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",self_attn,,batched_matmul,"[[n_h, n_h*d_head, d_head], [n_h, d_head, n_h*d_head]]",,"[[n_h, n_h*d_head, n_h*d_head]]","[21, 22]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False
25,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",self_attn,,softmax,"[[B, n_h, n_h*d_head, n_h*d_head]]",,"[[B, n_h, n_h*d_head, n_h*d_head]]",[24],1,self_attn,,1,model.layers.1.self_attn,aten._safe_softmax.default,[],prefill,False
26,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",self_attn,,batched_matmul,"[[n_h, n_h*d_head, n_h*d_head], [n_h, n_h*d_head, d_head]]",,"[[n_h, n_h*d_head, d_head]]","[23, 25]",1,self_attn,,1,model.layers.1.self_attn,aten.bmm.default,[],prefill,False
27,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",self_attn,o_proj,matmul,"[[n_h*d_head, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]","[[n_h*d_head, d_model]]",[26],1,self_attn,o_proj,2,model.layers.1.self_attn.o_proj,aten.mm.default,[model.layers.1.self_attn.o_proj.weight],prefill,False
28,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",post_attention_layernorm,,rmsnorm,"[[B, n_h*d_head, d_model]]",[d_model],"[[B, n_h*d_head, d_model]]",[27],1,post_attention_layernorm,,1,model.layers.1.post_attention_layernorm,pow+mean+add+rsqrt+mul+add+mul,[model.layers.1.post_attention_layernorm.weight],prefill,False
29,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[19, 28]",1,,,0,model.layers.1,aten.add.Tensor,[],prefill,False
30,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",pre_feedforward_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[29],1,pre_feedforward_layernorm,,1,model.layers.1.pre_feedforward_layernorm,pow+mean+add+rsqrt+mul+add+mul,[model.layers.1.pre_feedforward_layernorm.weight],prefill,False
31,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",mlp,gate_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[30],1,mlp,gate_proj,2,model.layers.1.mlp.gate_proj,aten.mm.default,[model.layers.1.mlp.gate_proj.weight],prefill,False
32,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",mlp,act_fn,gelu,"[[B, T, d_ff]]",,"[[B, T, d_ff]]",[31],1,mlp,act_fn,2,model.layers.1.mlp.act_fn,aten.gelu.default,[],prefill,False
33,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",mlp,up_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[30],1,mlp,up_proj,2,model.layers.1.mlp.up_proj,aten.mm.default,[model.layers.1.mlp.up_proj.weight],prefill,False
34,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",mlp,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,"[[B, T, d_ff]]","[32, 33]",1,mlp,,1,model.layers.1.mlp,aten.mul.Tensor,[],prefill,False
35,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",mlp,down_proj,matmul,"[[T, d_ff], [d_ff, d_model]]","[d_model, d_ff]","[[T, d_model]]",[34],1,mlp,down_proj,2,model.layers.1.mlp.down_proj,aten.mm.default,[model.layers.1.mlp.down_proj.weight],prefill,False
36,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",post_feedforward_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[35],1,post_feedforward_layernorm,,1,model.layers.1.post_feedforward_layernorm,pow+mean+add+rsqrt+mul+add+mul,[model.layers.1.post_feedforward_layernorm.weight],prefill,False
37,attn+FFN,13,"1,3,5,7,9,11,13,15,17,19,21,23,25",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[29, 36]",1,,,0,model.layers.1,aten.add.Tensor,[],prefill,False
38,norm,1,,model,norm,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[37],,other,,2,model.norm,pow+mean+add+rsqrt+mul+add+mul,[model.norm.weight],prefill,False
39,head,1,,lm_head,,matmul,"[[T, d_model], [d_model, V]]","[V, d_model]","[[T, V]]",[38],,other,,1,lm_head,aten.mm.default,[model.embed_tokens.weight],prefill,False
40,-,1,,,,tanh,"[[B, T, V]]",,"[[B, T, V]]",[39],,other,,0,,aten.tanh.default,[],prefill,False
