op_id,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped,caveat
77,model,,,,,unsqueeze,[[T]],,,"[[1, T]]",[67],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
78,model,,,,,unsqueeze,"[[1, T]]",,,"[[1, 1, T]]",[77],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
79,model,,,,,unsqueeze,"[[1, 1, T]]",,,"[[1, 1, 1, T]]",[78],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
80,model,,,,,new_ones,"[[1, 1, T, 1]]",,,[[]],[76],,other,,1,model,aten.new_ones.default,[],prefill,True,
81,model,,,,,sub,"[[1, 1, T, 1]]",,,"[[1, 1, T, 1]]",[76],,other,,1,model,aten.sub.Tensor,[],prefill,True,
82,model,,,,,gt,"[[1, 1, 1, T], [1, 1, T, 1]]",,,"[[1, 1, T, T]]","[79, 81]",,other,,1,model,aten.gt.Tensor,[],prefill,True,
83,model,,,,,bitwise_and,"[[], [1, 1, T, T]]",,,"[[1, 1, T, T]]","[80, 82]",,other,,1,model,aten.bitwise_and.Tensor,[],prefill,True,
84,model,,,,,le,"[[1, 1, 1, T], [1, 1, T, 1]]",,,"[[1, 1, T, T]]","[76, 79]",,other,,1,model,aten.le.Tensor,[],prefill,True,
85,model,,,,,bitwise_and,"[[1, 1, T, T], [1, 1, T, T]]",,,"[[1, 1, T, T]]","[83, 84]",,other,,1,model,aten.bitwise_and.Tensor,[],prefill,True,
86,model,,,,,expand,"[[1, 1, T, T]]",,,"[[B, 1, T, T]]",[85],,other,,1,model,aten.expand.default,[],prefill,True,
87,model,,,,,scalar_tensor,[],,,[[]],[],,other,,1,model,aten.scalar_tensor.default,[],prefill,True,
88,model,,,,,where,"[[B, 1, T, T], [], []]",,,"[[B, 1, T, T]]","[86, 87]",,other,,1,model,aten.where.self,[],prefill,True,
89,model,,,,,unsqueeze,"[[B, T, d_model]]",,,"[[B, T, 1, d_model]]",[61],,other,,1,model,aten.unsqueeze.default,[],prefill,True,
90,model,,,,,expand,"[[B, T, 1, d_model]]",,,"[[B, T, n_hc, d_model]]",[89],,other,,1,model,aten.expand.default,[],prefill,True,
91,model,,,,,clone,"[[B, T, n_hc, d_model]]",,,"[[B, T, n_hc, d_model]]",[90],,other,,1,model,aten.clone.default,[],prefill,True,
92,model,rotary_emb,,,,unsqueeze,[[d_rope/2]],,,"[[1, d_rope/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.main_inv_freq],prefill,True,
93,model,rotary_emb,,,,unsqueeze,"[[1, d_rope/2]]",,,"[[1, d_rope/2, 1]]",[92],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True,
94,model,rotary_emb,,,,expand,"[[1, d_rope/2, 1]]",,,"[[B, d_rope/2, 1]]",[93],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
95,model,rotary_emb,,,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True,
96,model,rotary_emb,,,,_to_copy,"[[B, 1, T]]",,,"[[B, 1, T]]",[95],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True,
97,model,rotary_emb,,,,expand,"[[B, d_rope/2, 1]]",,,"[[B, d_rope/2, 1]]",[94],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
98,model,rotary_emb,,,,view,"[[B, d_rope/2, 1]]",,,"[[B, d_rope/2, 1]]",[97],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True,
99,model,rotary_emb,,,,expand,"[[B, 1, T]]",,,"[[B, 1, T]]",[96],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
100,model,rotary_emb,,,,view,"[[B, 1, T]]",,,"[[B, 1, T]]",[99],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True,
101,model,rotary_emb,,,,batched_matmul,"[[B, d_rope/2, 1], [B, 1, T]]",,,"[[B, d_rope/2, T]]","[98, 100]",,other,,2,model.rotary_emb,aten.bmm.default,[],prefill,False,
102,model,rotary_emb,,,,_unsafe_view,"[[B, d_rope/2, T]]",,,"[[B, d_rope/2, T]]",[101],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],prefill,True,
103,model,rotary_emb,,,,transpose,"[[B, d_rope/2, T]]",,,"[[B, T, d_rope/2]]",[102],,other,,2,model.rotary_emb,aten.transpose.int,[],prefill,True,
104,model,rotary_emb,,,,cos,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[103],,other,,2,model.rotary_emb,aten.cos.default,[],prefill,False,
105,model,rotary_emb,,,,elementwise_mul,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[104],,other,,2,model.rotary_emb,aten.mul.Tensor,[],prefill,False,
106,model,rotary_emb,,,,sin,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[103],,other,,2,model.rotary_emb,aten.sin.default,[],prefill,False,
107,model,rotary_emb,,,,elementwise_mul,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[106],,other,,2,model.rotary_emb,aten.mul.Tensor,[],prefill,False,
108,model,rotary_emb,,,,_to_copy,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[105],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True,
109,model,rotary_emb,,,,_to_copy,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[107],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True,
110,model,rotary_emb,,,,unsqueeze,[[d_rope/2]],,,"[[1, d_rope/2]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[model.rotary_emb.compress_inv_freq],prefill,True,
111,model,rotary_emb,,,,unsqueeze,"[[1, d_rope/2]]",,,"[[1, d_rope/2, 1]]",[110],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True,
112,model,rotary_emb,,,,expand,"[[1, d_rope/2, 1]]",,,"[[B, d_rope/2, 1]]",[111],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
113,model,rotary_emb,,,,unsqueeze,"[[B, T]]",,,"[[B, 1, T]]",[],,other,,2,model.rotary_emb,aten.unsqueeze.default,[],prefill,True,
114,model,rotary_emb,,,,_to_copy,"[[B, 1, T]]",,,"[[B, 1, T]]",[113],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True,
115,model,rotary_emb,,,,expand,"[[B, d_rope/2, 1]]",,,"[[B, d_rope/2, 1]]",[112],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
116,model,rotary_emb,,,,view,"[[B, d_rope/2, 1]]",,,"[[B, d_rope/2, 1]]",[115],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True,
117,model,rotary_emb,,,,expand,"[[B, 1, T]]",,,"[[B, 1, T]]",[114],,other,,2,model.rotary_emb,aten.expand.default,[],prefill,True,
118,model,rotary_emb,,,,view,"[[B, 1, T]]",,,"[[B, 1, T]]",[117],,other,,2,model.rotary_emb,aten.view.default,[],prefill,True,
119,model,rotary_emb,,,,batched_matmul,"[[B, d_rope/2, 1], [B, 1, T]]",,,"[[B, d_rope/2, T]]","[116, 118]",,other,,2,model.rotary_emb,aten.bmm.default,[],prefill,False,
120,model,rotary_emb,,,,_unsafe_view,"[[B, d_rope/2, T]]",,,"[[B, d_rope/2, T]]",[119],,other,,2,model.rotary_emb,aten._unsafe_view.default,[],prefill,True,
121,model,rotary_emb,,,,transpose,"[[B, d_rope/2, T]]",,,"[[B, T, d_rope/2]]",[120],,other,,2,model.rotary_emb,aten.transpose.int,[],prefill,True,
122,model,rotary_emb,,,,cos,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[121],,other,,2,model.rotary_emb,aten.cos.default,[],prefill,False,
123,model,rotary_emb,,,,elementwise_mul,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[122],,other,,2,model.rotary_emb,aten.mul.Tensor,[],prefill,False,
124,model,rotary_emb,,,,sin,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[121],,other,,2,model.rotary_emb,aten.sin.default,[],prefill,False,
125,model,rotary_emb,,,,elementwise_mul,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[124],,other,,2,model.rotary_emb,aten.mul.Tensor,[],prefill,False,
126,model,rotary_emb,,,,_to_copy,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[123],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True,
127,model,rotary_emb,,,,_to_copy,"[[B, T, d_rope/2]]",,,"[[B, T, d_rope/2]]",[125],,other,,2,model.rotary_emb,aten._to_copy.default,[],prefill,True,
128,attn_hc,,,,,view,"[[B, T, n_hc, d_model]]",,,"[[B, T, n_hc*d_model]]",[91],0,attn_hc,,1,model.layers.0.attn_hc,aten.view.default,[],prefill,True,
129,attn_hc,,,,,_to_copy,"[[B, T, n_hc*d_model]]",,,"[[B, T, n_hc*d_model]]",[128],0,attn_hc,,1,model.layers.0.attn_hc,aten._to_copy.default,[],prefill,True,
130,attn_hc,input_norm,,,,pow,"[[B, T, n_hc*d_model]]",,,"[[B, T, n_hc*d_model]]",[129],0,attn_hc,input_norm,2,model.layers.0.attn_hc.input_norm,aten.pow.Tensor_Scalar,[],prefill,False,
131,attn_hc,input_norm,,,,mean,"[[B, T, n_hc*d_model]]",,,"[[B, T, 1]]",[130],0,attn_hc,input_norm,2,model.layers.0.attn_hc.input_norm,aten.mean.dim,[],prefill,False,
132,attn_hc,input_norm,,,,elementwise_add,"[[B, T, 1]]",,,"[[B, T, 1]]",[131],0,attn_hc,input_norm,2,model.layers.0.attn_hc.input_norm,aten.add.Tensor,[],prefill,False,
133,attn_hc,input_norm,,,,rsqrt,"[[B, T, 1]]",,,"[[B, T, 1]]",[132],0,attn_hc,input_norm,2,model.layers.0.attn_hc.input_norm,aten.rsqrt.default,[],prefill,False,
134,attn_hc,input_norm,,,,elementwise_mul,"[[B, T, n_hc*d_model], [B, T, 1]]",,,"[[B, T, n_hc*d_model]]","[129, 133]",0,attn_hc,input_norm,2,model.layers.0.attn_hc.input_norm,aten.mul.Tensor,[],prefill,False,
135,attn_hc,,,,,_to_copy,"[[(2+n_hc)*n_hc, n_hc*d_model]]","[(2+n_hc)*n_hc, n_hc*d_model]",0,"[[(2+n_hc)*n_hc, n_hc*d_model]]",[],0,attn_hc,,1,model.layers.0.attn_hc,aten._to_copy.default,[model.layers.0.attn_hc.fn],prefill,True,
136,attn_hc,,,,,t,"[[(2+n_hc)*n_hc, n_hc*d_model]]","[(2+n_hc)*n_hc, n_hc*d_model]",0,"[[n_hc*d_model, (2+n_hc)*n_hc]]",[135],0,attn_hc,,1,model.layers.0.attn_hc,aten.t.default,[model.layers.0.attn_hc.fn],prefill,True,
137,attn_hc,,,,,view,"[[B, T, n_hc*d_model]]",,,"[[B*T, n_hc*d_model]]",[134],0,attn_hc,,1,model.layers.0.attn_hc,aten.view.default,[],prefill,True,
138,attn_hc,,,,,matmul,"[[B*T, n_hc*d_model], [n_hc*d_model, (2+n_hc)*n_hc]]","[(2+n_hc)*n_hc, n_hc*d_model]",1,"[[B*T, (2+n_hc)*n_hc]]","[136, 137]",0,attn_hc,,1,model.layers.0.attn_hc,aten.mm.default,[model.layers.0.attn_hc.fn],prefill,False,
139,attn_hc,,,,,_unsafe_view,"[[B*T, (2+n_hc)*n_hc]]",,,"[[B, T, (2+n_hc)*n_hc]]",[138],0,attn_hc,,1,model.layers.0.attn_hc,aten._unsafe_view.default,[],prefill,True,
140,attn_hc,,,,,split_with_sizes,"[[B, T, (2+n_hc)*n_hc]]",,,"[[B, T, n_hc], [B, T, n_hc], [B, T, n_hc*n_hc]]",[139],0,attn_hc,,1,model.layers.0.attn_hc,aten.split_with_sizes.default,[],prefill,True,
141,attn_hc,,,,,split_with_sizes,[[(2+n_hc)*n_hc]],,,"[[n_hc], [n_hc], [n_hc*n_hc]]",[],0,attn_hc,,1,model.layers.0.attn_hc,aten.split_with_sizes.default,[model.layers.0.attn_hc.base],prefill,True,
142,attn_hc,,,,,unbind,[[3]],,,"[[], [], []]",[],0,attn_hc,,1,model.layers.0.attn_hc,aten.unbind.int,[model.layers.0.attn_hc.scale],prefill,True,
143,attn_hc,,,,,elementwise_mul,"[[B, T, n_hc], []]",,,"[[B, T, n_hc]]","[140, 142]",0,attn_hc,,1,model.layers.0.attn_hc,aten.mul.Tensor,[],prefill,False,
144,attn_hc,,,,,elementwise_add,"[[B, T, n_hc], [n_hc]]",,,"[[B, T, n_hc]]","[141, 143]",0,attn_hc,,1,model.layers.0.attn_hc,aten.add.Tensor,[],prefill,False,
145,attn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,,"[[B, T, n_hc]]",[144],0,attn_hc,,1,model.layers.0.attn_hc,aten.sigmoid.default,[],prefill,False,
146,attn_hc,,,,,elementwise_add,"[[B, T, n_hc]]",,,"[[B, T, n_hc]]",[145],0,attn_hc,,1,model.layers.0.attn_hc,aten.add.Tensor,[],prefill,False,
147,attn_hc,,,,,elementwise_mul,"[[B, T, n_hc], []]",,,"[[B, T, n_hc]]","[140, 142]",0,attn_hc,,1,model.layers.0.attn_hc,aten.mul.Tensor,[],prefill,False,
148,attn_hc,,,,,elementwise_add,"[[B, T, n_hc], [n_hc]]",,,"[[B, T, n_hc]]","[141, 147]",0,attn_hc,,1,model.layers.0.attn_hc,aten.add.Tensor,[],prefill,False,
149,attn_hc,,,,,sigmoid,"[[B, T, n_hc]]",,,"[[B, T, n_hc]]",[148],0,attn_hc,,1,model.layers.0.attn_hc,aten.sigmoid.default,[],prefill,False,
150,attn_hc,,,,,elementwise_mul,"[[B, T, n_hc]]",,,"[[B, T, n_hc]]",[149],0,attn_hc,,1,model.layers.0.attn_hc,aten.mul.Tensor,[],prefill,False,
151,attn_hc,,,,,view,"[[B, T, n_hc*n_hc]]",,,"[[B, T, n_hc, n_hc]]",[140],0,attn_hc,,1,model.layers.0.attn_hc,aten.view.default,[],prefill,True,
152,attn_hc,,,,,elementwise_mul,"[[B, T, n_hc, n_hc], []]",,,"[[B, T, n_hc, n_hc]]","[142, 151]",0,attn_hc,,1,model.layers.0.attn_hc,aten.mul.Tensor,[],prefill,False,
153,attn_hc,,,,,view,[[n_hc*n_hc]],,,"[[n_hc, n_hc]]",[141],0,attn_hc,,1,model.layers.0.attn_hc,aten.view.default,[],prefill,True,
154,attn_hc,,,,,elementwise_add,"[[B, T, n_hc, n_hc], [n_hc, n_hc]]",,,"[[B, T, n_hc, n_hc]]","[152, 153]",0,attn_hc,,1,model.layers.0.attn_hc,aten.add.Tensor,[],prefill,False,
155,attn_hc,,,,,softmax,"[[B, T, n_hc, n_hc]]",,,"[[B, T, n_hc, n_hc]]",[154],0,attn_hc,,1,model.layers.0.attn_hc,aten._softmax.default,[],prefill,False,
156,attn_hc,,,,,elementwise_add,"[[B, T, n_hc, n_hc]]",,,"[[B, T, n_hc, n_hc]]",[155],0,attn_hc,,1,model.layers.0.attn_hc,aten.add.Tensor,[],prefill,False,
157,attn_hc,,,,,sum,"[[B, T, n_hc, n_hc]]",,,"[[B, T, 1, n_hc]]",[156],0,attn_hc,,1,model.layers.0.attn_hc,aten.sum.dim_IntList,[],prefill,True,
158,attn_hc,,,,,elementwise_add,"[[B, T, 1, n_hc]]",,,"[[B, T, 1, n_hc]]",[157],0,attn_hc,,1,model.layers.0.attn_hc,aten.add.Tensor,[],prefill,False,
159,attn_hc,,,,,div,"[[B, T, n_hc, n_hc], [B, T, 1, n_hc]]",,,"[[B, T, n_hc, n_hc]]","[156, 158]",0,attn_hc,,1,model.layers.0.attn_hc,aten.div.Tensor,[],prefill,True,
160,attn_hc,,,,,sum,"[[B, T, n_hc, n_hc]]",,,"[[B, T, n_hc, 1]]",[159],0,attn_hc,,1,model.layers.0.attn_hc,aten.sum.dim_IntList,[],prefill,True,
161,attn_hc,,,,,elementwise_add,"[[B, T, n_hc, 1]]",,,"[[B, T, n_hc, 1]]",[160],0,attn_hc,,1,model.layers.0.attn_hc,aten.add.Tensor,[],prefill,False,
162,attn_hc,,,,,div,"[[B, T, n_hc, n_hc], [B, T, n_hc, 1]]",,,"[[B, T, n_hc, n_hc]]","[159, 161]",0,attn_hc,,1,model.layers.0.attn_hc,aten.div.Tensor,[],prefill,True,
163,attn_hc,,,,,sum,"[[B, T, n_hc, n_hc]]",,,"[[B, T, 1, n_hc]]",[162],0,attn_hc,,1,model.layers.0.attn_hc,aten.sum.dim_IntList,[],prefill,True,
164,attn_hc,,,,,elementwise_add,"[[B, T, 1, n_hc]]",,,"[[B, T, 1, n_hc]]",[163],0,attn_hc,,1,model.layers.0.attn_hc,aten.add.Tensor,[],prefill,False,
165,attn_hc,,,,,div,"[[B, T, n_hc, n_hc], [B, T, 1, n_hc]]",,,"[[B, T, n_hc, n_hc]]","[162, 164]",0,attn_hc,,1,model.layers.0.attn_hc,aten.div.Tensor,[],prefill,True,
166,attn_hc,,,,,sum,"[[B, T, n_hc, n_hc]]",,,"[[B, T, n_hc, 1]]",[165],0,attn_hc,,1,model.layers.0.attn_hc,aten.sum.dim_IntList,[],prefill,True,
167,attn_hc,,,,,elementwise_add,"[[B, T, n_hc, 1]]",,,"[[B, T, n_hc, 1]]",[166],0,attn_hc,,1,model.layers.0.attn_hc,aten.add.Tensor,[],prefill,False,
168,attn_hc,,,,,div,"[[B, T, n_hc, n_hc], [B, T, n_hc, 1]]",,,"[[B, T, n_hc, n_hc]]","[165, 167]",0,attn_hc,,1,model.layers.0.attn_hc,aten.div.Tensor,[],prefill,True,
169,attn_hc,,,,,sum,"[[B, T, n_hc, n_hc]]",,,"[[B, T, 1, n_hc]]",[168],0,attn_hc,,1,model.layers.0.attn_hc,aten.sum.dim_IntList,[],prefill,True,
170,attn_hc,,,,,elementwise_add,"[[B, T, 1, n_hc]]",,,"[[B, T, 1, n_hc]]",[169],0,attn_hc,,1,model.layers.0.attn_hc,aten.add.Tensor,[],prefill,False,
171,attn_hc,,,,,div,"[[B, T, n_hc, n_hc], [B, T, 1, n_hc]]",,,"[[B, T, n_hc, n_hc]]","[168, 170]",0,attn_hc,,1,model.layers.0.attn_hc,aten.div.Tensor,[],prefill,True,
172,attn_hc,,,,,sum,"[[B, T, n_hc, n_hc]]",,,"[[B, T, n_hc, 1]]",[171],0,attn_hc,,1,model.layers.0.attn_hc,aten.sum.dim_IntList,[],prefill,True,
