op_id,h1,h2,h3,h4,h5,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
40,mamba,,,,,unsqueeze,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, 1, d_inner+2*n_g*d_state]]",[39],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
41,mamba,,,,,split_with_sizes,"[[B, 1, d_inner+2*n_g*d_state]]",,,"[[B, 1, d_inner], [B, 1, d_state], [B, 1, d_state]]",[40],0,mamba,,1,model.layers.0.mamba,aten.split_with_sizes.default,[],decode,True
42,mamba,,,,,exp,[[d_head_ssm]],,,[[d_head_ssm]],[],0,mamba,,1,model.layers.0.mamba,aten.exp.default,[model.layers.0.mamba.A_log],decode,False
43,mamba,,,,,neg,[[d_head_ssm]],,,[[d_head_ssm]],[42],0,mamba,,1,model.layers.0.mamba,aten.neg.default,[],decode,False
44,mamba,,,,,select,"[[B, 1, d_head_ssm]]",,,"[[B, d_head_ssm]]",[29],0,mamba,,1,model.layers.0.mamba,aten.select.int,[],decode,True
45,mamba,,,,,unsqueeze,"[[B, d_head_ssm]]",,,"[[B, 1, d_head_ssm]]",[44],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
46,mamba,,,,,transpose,"[[B, 1, d_head_ssm]]",,,"[[B, d_head_ssm, 1]]",[45],0,mamba,,1,model.layers.0.mamba,aten.transpose.int,[],decode,True
47,mamba,,,,,expand,"[[B, d_head_ssm, 1]]",,,"[[B, d_head_ssm, n_h_ssm]]",[46],0,mamba,,1,model.layers.0.mamba,aten.expand.default,[],decode,True
48,mamba,,,,,unsqueeze,[[d_head_ssm]],,,"[[d_head_ssm, B]]",[],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[model.layers.0.mamba.dt_bias],decode,True
49,mamba,,,,,expand,"[[d_head_ssm, B]]",,,"[[d_head_ssm, n_h_ssm]]",[48],0,mamba,,1,model.layers.0.mamba,aten.expand.default,[],decode,True
50,mamba,,,,,elementwise_add,"[[B, d_head_ssm, n_h_ssm], [d_head_ssm, n_h_ssm]]",,,"[[B, d_head_ssm, n_h_ssm]]","[47, 49]",0,mamba,,1,model.layers.0.mamba,aten.add.Tensor,[],decode,False
51,mamba,,,,,softplus,"[[B, d_head_ssm, n_h_ssm]]",,,"[[B, d_head_ssm, n_h_ssm]]",[50],0,mamba,,1,model.layers.0.mamba,aten.softplus.default,[],decode,True
52,mamba,,,,,clamp,"[[B, d_head_ssm, n_h_ssm]]",,,"[[B, d_head_ssm, n_h_ssm]]",[51],0,mamba,,1,model.layers.0.mamba,aten.clamp.default,[],decode,True
53,mamba,,,,,unsqueeze,[[d_head_ssm]],,,"[[d_head_ssm, B]]",[43],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
54,mamba,,,,,unsqueeze,"[[d_head_ssm, B]]",,,"[[d_head_ssm, B, 1]]",[53],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
55,mamba,,,,,expand,"[[d_head_ssm, B, 1]]",,,"[[d_head_ssm, n_h_ssm, d_state]]",[54],0,mamba,,1,model.layers.0.mamba,aten.expand.default,[],decode,True
56,mamba,,,,,unsqueeze,"[[B, d_head_ssm, n_h_ssm]]",,,"[[B, d_head_ssm, n_h_ssm, 1]]",[52],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
57,mamba,,,,,elementwise_mul,"[[B, d_head_ssm, n_h_ssm, 1], [d_head_ssm, n_h_ssm, d_state]]",,,"[[B, d_head_ssm, n_h_ssm, d_state]]","[55, 56]",0,mamba,,1,model.layers.0.mamba,aten.mul.Tensor,[],decode,False
58,mamba,,,,,exp,"[[B, d_head_ssm, n_h_ssm, d_state]]",,,"[[B, d_head_ssm, n_h_ssm, d_state]]",[57],0,mamba,,1,model.layers.0.mamba,aten.exp.default,[],decode,False
59,mamba,,,,,view,"[[B, 1, d_state]]",,,"[[B, 1, d_state]]",[41],0,mamba,,1,model.layers.0.mamba,aten.view.default,[],decode,True
60,mamba,,,,,unsqueeze,"[[B, 1, d_state]]",,,"[[B, 1, 1, d_state]]",[59],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
61,mamba,,,,,expand,"[[B, 1, 1, d_state]]",,,"[[B, 1, d_head_ssm, d_state]]",[60],0,mamba,,1,model.layers.0.mamba,aten.expand.default,[],decode,True
62,mamba,,,,,clone,"[[B, 1, d_head_ssm, d_state]]",,,"[[B, 1, d_head_ssm, d_state]]",[61],0,mamba,,1,model.layers.0.mamba,aten.clone.default,[],decode,True
63,mamba,,,,,view,"[[B, 1, d_head_ssm, d_state]]",,,"[[B, d_head_ssm, d_state]]",[62],0,mamba,,1,model.layers.0.mamba,aten.view.default,[],decode,True
64,mamba,,,,,unsqueeze,"[[B, d_head_ssm, n_h_ssm]]",,,"[[B, d_head_ssm, n_h_ssm, 1]]",[52],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
65,mamba,,,,,unsqueeze,"[[B, d_head_ssm, d_state]]",,,"[[B, d_head_ssm, 1, d_state]]",[63],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
66,mamba,,,,,elementwise_mul,"[[B, d_head_ssm, n_h_ssm, 1], [B, d_head_ssm, 1, d_state]]",,,"[[B, d_head_ssm, n_h_ssm, d_state]]","[64, 65]",0,mamba,,1,model.layers.0.mamba,aten.mul.Tensor,[],decode,False
67,mamba,,,,,view,"[[B, 1, d_inner]]",,,"[[B, d_head_ssm, n_h_ssm]]",[41],0,mamba,,1,model.layers.0.mamba,aten.view.default,[],decode,True
68,mamba,,,,,unsqueeze,"[[B, d_head_ssm, n_h_ssm]]",,,"[[B, d_head_ssm, n_h_ssm, 1]]",[67],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
69,mamba,,,,,elementwise_mul,"[[B, d_head_ssm, n_h_ssm, d_state], [B, d_head_ssm, n_h_ssm, 1]]",,,"[[B, d_head_ssm, n_h_ssm, d_state]]","[66, 68]",0,mamba,,1,model.layers.0.mamba,aten.mul.Tensor,[],decode,False
70,mamba,,,,,clone,"[[B, d_head_ssm, n_h_ssm, d_state]]",,,"[[B, d_head_ssm, n_h_ssm, d_state]]",[],0,mamba,,1,model.layers.0.mamba,aten.clone.default,[],decode,True
71,mamba,,,,,elementwise_mul,"[[B, d_head_ssm, n_h_ssm, d_state], [B, d_head_ssm, n_h_ssm, d_state]]",,,"[[B, d_head_ssm, n_h_ssm, d_state]]","[58, 70]",0,mamba,,1,model.layers.0.mamba,aten.mul.Tensor,[],decode,False
72,mamba,,,,,elementwise_add,"[[B, d_head_ssm, n_h_ssm, d_state], [B, d_head_ssm, n_h_ssm, d_state]]",,,"[[B, d_head_ssm, n_h_ssm, d_state]]","[69, 71]",0,mamba,,1,model.layers.0.mamba,aten.add.Tensor,[],decode,False
73,mamba,,,,,copy_,"[[B, d_head_ssm, n_h_ssm, d_state], [B, d_head_ssm, n_h_ssm, d_state]]",,,"[[B, d_head_ssm, n_h_ssm, d_state]]",[72],0,mamba,,1,model.layers.0.mamba,aten.copy_.default,[],decode,True
74,mamba,,,,,view,"[[B, 1, d_state]]",,,"[[B, 1, d_state]]",[41],0,mamba,,1,model.layers.0.mamba,aten.view.default,[],decode,True
75,mamba,,,,,unsqueeze,"[[B, 1, d_state]]",,,"[[B, 1, 1, d_state]]",[74],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
76,mamba,,,,,expand,"[[B, 1, 1, d_state]]",,,"[[B, 1, d_head_ssm, d_state]]",[75],0,mamba,,1,model.layers.0.mamba,aten.expand.default,[],decode,True
77,mamba,,,,,clone,"[[B, 1, d_head_ssm, d_state]]",,,"[[B, 1, d_head_ssm, d_state]]",[76],0,mamba,,1,model.layers.0.mamba,aten.clone.default,[],decode,True
78,mamba,,,,,view,"[[B, 1, d_head_ssm, d_state]]",,,"[[B, d_head_ssm, d_state]]",[77],0,mamba,,1,model.layers.0.mamba,aten.view.default,[],decode,True
79,mamba,,,,,view,"[[B, d_head_ssm, n_h_ssm, d_state]]",,,"[[d_head_ssm, n_h_ssm, d_state]]",[73],0,mamba,,1,model.layers.0.mamba,aten.view.default,[],decode,True
80,mamba,,,,,view,"[[B, d_head_ssm, d_state]]",,,"[[d_head_ssm, d_state, B]]",[78],0,mamba,,1,model.layers.0.mamba,aten.view.default,[],decode,True
81,mamba,,,,,batched_matmul,"[[d_head_ssm, n_h_ssm, d_state], [d_head_ssm, d_state, B]]",,,"[[d_head_ssm, n_h_ssm, B]]","[79, 80]",0,mamba,,1,model.layers.0.mamba,aten.bmm.default,[],decode,False
82,mamba,,,,,view,"[[d_head_ssm, n_h_ssm, B]]",,,"[[B, d_head_ssm, n_h_ssm]]",[81],0,mamba,,1,model.layers.0.mamba,aten.view.default,[],decode,True
83,mamba,,,,,unsqueeze,[[d_head_ssm]],,,"[[d_head_ssm, B]]",[],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[model.layers.0.mamba.D],decode,True
84,mamba,,,,,expand,"[[d_head_ssm, B]]",,,"[[d_head_ssm, n_h_ssm]]",[83],0,mamba,,1,model.layers.0.mamba,aten.expand.default,[],decode,True
85,mamba,,,,,elementwise_mul,"[[B, d_head_ssm, n_h_ssm], [d_head_ssm, n_h_ssm]]",,,"[[B, d_head_ssm, n_h_ssm]]","[67, 84]",0,mamba,,1,model.layers.0.mamba,aten.mul.Tensor,[],decode,False
86,mamba,,,,,elementwise_add,"[[B, d_head_ssm, n_h_ssm], [B, d_head_ssm, n_h_ssm]]",,,"[[B, d_head_ssm, n_h_ssm]]","[82, 85]",0,mamba,,1,model.layers.0.mamba,aten.add.Tensor,[],decode,False
87,mamba,,,,,view,"[[B, d_head_ssm, n_h_ssm]]",,,"[[B, d_inner]]",[86],0,mamba,,1,model.layers.0.mamba,aten.view.default,[],decode,True
88,mamba,,,,,unsqueeze,"[[B, d_inner]]",,,"[[B, 1, d_inner]]",[87],0,mamba,,1,model.layers.0.mamba,aten.unsqueeze.default,[],decode,True
89,mamba,norm,,,,silu,"[[B, 1, d_inner]]",,,"[[B, 1, d_inner]]",[29],0,mamba,norm,2,model.layers.0.mamba.norm,aten.silu.default,[],decode,False
90,mamba,norm,,,,elementwise_mul,"[[B, 1, d_inner], [B, 1, d_inner]]",,,"[[B, 1, d_inner]]","[88, 89]",0,mamba,norm,2,model.layers.0.mamba.norm,aten.mul.Tensor,[],decode,False
91,mamba,norm,,,,view,"[[B, 1, d_inner]]",,,"[[B, 1, 1, d_inner]]",[90],0,mamba,norm,2,model.layers.0.mamba.norm,aten.view.default,[],decode,True
92,mamba,norm,,,,pow,"[[B, 1, 1, d_inner]]",,,"[[B, 1, 1, d_inner]]",[91],0,mamba,norm,2,model.layers.0.mamba.norm,aten.pow.Tensor_Scalar,[],decode,False
93,mamba,norm,,,,mean,"[[B, 1, 1, d_inner]]",,,"[[B, 1, 1, 1]]",[92],0,mamba,norm,2,model.layers.0.mamba.norm,aten.mean.dim,[],decode,False
94,mamba,norm,,,,elementwise_add,"[[B, 1, 1, 1]]",,,"[[B, 1, 1, 1]]",[93],0,mamba,norm,2,model.layers.0.mamba.norm,aten.add.Tensor,[],decode,False
95,mamba,norm,,,,rsqrt,"[[B, 1, 1, 1]]",,,"[[B, 1, 1, 1]]",[94],0,mamba,norm,2,model.layers.0.mamba.norm,aten.rsqrt.default,[],decode,False
96,mamba,norm,,,,elementwise_mul,"[[B, 1, 1, d_inner], [B, 1, 1, 1]]",,,"[[B, 1, 1, d_inner]]","[91, 95]",0,mamba,norm,2,model.layers.0.mamba.norm,aten.mul.Tensor,[],decode,False
97,mamba,norm,,,,view,"[[B, 1, 1, d_inner]]",,,"[[B, 1, d_inner]]",[96],0,mamba,norm,2,model.layers.0.mamba.norm,aten.view.default,[],decode,True
98,mamba,norm,,,,elementwise_mul,"[[d_inner], [B, 1, d_inner]]",,,"[[B, 1, d_inner]]",[97],0,mamba,norm,2,model.layers.0.mamba.norm,aten.mul.Tensor,[model.layers.0.mamba.norm.weight],decode,False
99,mamba,out_proj,,,,t,"[[d_model, d_inner]]","[d_model, d_inner]",0,"[[d_inner, d_model]]",[],0,mamba,out_proj,2,model.layers.0.mamba.out_proj,aten.t.default,[model.layers.0.mamba.out_proj.weight],decode,True
100,mamba,out_proj,,,,view,"[[B, 1, d_inner]]",,,"[[B, d_inner]]",[98],0,mamba,out_proj,2,model.layers.0.mamba.out_proj,aten.view.default,[],decode,True
101,mamba,out_proj,,,,matmul,"[[B, d_inner], [d_inner, d_model]]","[d_model, d_inner]",1,"[[B, d_model]]","[99, 100]",0,mamba,out_proj,2,model.layers.0.mamba.out_proj,aten.mm.default,[model.layers.0.mamba.out_proj.weight],decode,False
102,mamba,out_proj,,,,_unsafe_view,"[[B, d_model]]",,,"[[B, 1, d_model]]",[101],0,mamba,out_proj,2,model.layers.0.mamba.out_proj,aten._unsafe_view.default,[],decode,True
103,,,,,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[0, 102]",0,,,0,model.layers.0,aten.add.Tensor,[],decode,False
104,input_layernorm,,,,,pow,"[[B, 1, d_model]]",,,"[[B, 1, d_model]]",[103],1,input_layernorm,,1,model.layers.1.input_layernorm,aten.pow.Tensor_Scalar,[],decode,False
105,input_layernorm,,,,,mean,"[[B, 1, d_model]]",,,"[[B, 1, 1]]",[104],1,input_layernorm,,1,model.layers.1.input_layernorm,aten.mean.dim,[],decode,False
106,input_layernorm,,,,,elementwise_add,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[105],1,input_layernorm,,1,model.layers.1.input_layernorm,aten.add.Tensor,[],decode,False
107,input_layernorm,,,,,rsqrt,"[[B, 1, 1]]",,,"[[B, 1, 1]]",[106],1,input_layernorm,,1,model.layers.1.input_layernorm,aten.rsqrt.default,[],decode,False
108,input_layernorm,,,,,elementwise_mul,"[[B, 1, d_model], [B, 1, 1]]",,,"[[B, 1, d_model]]","[103, 107]",1,input_layernorm,,1,model.layers.1.input_layernorm,aten.mul.Tensor,[],decode,False
109,input_layernorm,,,,,elementwise_mul,"[[d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]",[108],1,input_layernorm,,1,model.layers.1.input_layernorm,aten.mul.Tensor,[model.layers.1.input_layernorm.weight],decode,False
110,mamba,in_proj,,,,t,"[[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",0,"[[d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[],1,mamba,in_proj,2,model.layers.1.mamba.in_proj,aten.t.default,[model.layers.1.mamba.in_proj.weight],decode,True
111,mamba,in_proj,,,,view,"[[B, 1, d_model]]",,,"[[B, d_model]]",[109],1,mamba,in_proj,2,model.layers.1.mamba.in_proj,aten.view.default,[],decode,True
112,mamba,in_proj,,,,matmul,"[[B, d_model], [d_model, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[2*d_inner+2*n_g*d_state+n_h_ssm, d_model]",1,"[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]","[110, 111]",1,mamba,in_proj,2,model.layers.1.mamba.in_proj,aten.mm.default,[model.layers.1.mamba.in_proj.weight],decode,False
113,mamba,in_proj,,,,_unsafe_view,"[[B, 2*d_inner+2*n_g*d_state+n_h_ssm]]",,,"[[B, 1, 2*d_inner+2*n_g*d_state+n_h_ssm]]",[112],1,mamba,in_proj,2,model.layers.1.mamba.in_proj,aten._unsafe_view.default,[],decode,True
114,mamba,,,,,split_with_sizes,"[[B, 1, 2*d_inner+2*n_g*d_state+n_h_ssm]]",,,"[[B, 1, 0], [B, 1, 0], [B, 1, d_inner], [B, 1, d_inner+2*n_g*d_state], [B, 1, d_head_ssm]]",[113],1,mamba,,1,model.layers.1.mamba,aten.split_with_sizes.default,[],decode,True
115,mamba,,,,,transpose,"[[B, 1, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state, 1]]",[114],1,mamba,,1,model.layers.1.mamba,aten.transpose.int,[],decode,True
116,mamba,,,,,concat,"[[B, d_inner+2*n_g*d_state, d_conv], [B, d_inner+2*n_g*d_state, 1]]",,,"[[B, d_inner+2*n_g*d_state, 5]]",[115],1,mamba,,1,model.layers.1.mamba,aten.cat.default,[],decode,False
117,mamba,,,,,slice,"[[B, d_inner+2*n_g*d_state, 5]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[116],1,mamba,,1,model.layers.1.mamba,aten.slice.Tensor,[],decode,True
118,mamba,,,,,copy_,"[[B, d_inner+2*n_g*d_state, d_conv], [B, d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[117],1,mamba,,1,model.layers.1.mamba,aten.copy_.default,[],decode,True
119,mamba,,,,,slice,"[[B, d_inner+2*n_g*d_state, 5]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]",[116],1,mamba,,1,model.layers.1.mamba,aten.slice.Tensor,[],decode,True
120,mamba,,,,,select,"[[d_inner+2*n_g*d_state, B, d_conv]]","[d_inner+2*n_g*d_state, 1, d_conv]",0,"[[d_inner+2*n_g*d_state, d_conv]]",[],1,mamba,,1,model.layers.1.mamba,aten.select.int,[model.layers.1.mamba.conv1d.weight],decode,True
121,mamba,,,,,elementwise_mul,"[[B, d_inner+2*n_g*d_state, d_conv], [d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state, d_conv]]","[119, 120]",1,mamba,,1,model.layers.1.mamba,aten.mul.Tensor,[],decode,False
122,mamba,,,,,sum,"[[B, d_inner+2*n_g*d_state, d_conv]]",,,"[[B, d_inner+2*n_g*d_state]]",[121],1,mamba,,1,model.layers.1.mamba,aten.sum.dim_IntList,[],decode,True
123,mamba,,,,,add_,"[[B, d_inner+2*n_g*d_state], [d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[122],1,mamba,,1,model.layers.1.mamba,aten.add_.Tensor,[model.layers.1.mamba.conv1d.bias],decode,True
124,mamba,act,,,,silu,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, d_inner+2*n_g*d_state]]",[123],1,mamba,act,2,model.layers.1.mamba.act,aten.silu.default,[],decode,False
125,mamba,,,,,unsqueeze,"[[B, d_inner+2*n_g*d_state]]",,,"[[B, 1, d_inner+2*n_g*d_state]]",[124],1,mamba,,1,model.layers.1.mamba,aten.unsqueeze.default,[],decode,True
126,mamba,,,,,split_with_sizes,"[[B, 1, d_inner+2*n_g*d_state]]",,,"[[B, 1, d_inner], [B, 1, d_state], [B, 1, d_state]]",[125],1,mamba,,1,model.layers.1.mamba,aten.split_with_sizes.default,[],decode,True
127,mamba,,,,,exp,[[d_head_ssm]],,,[[d_head_ssm]],[],1,mamba,,1,model.layers.1.mamba,aten.exp.default,[model.layers.1.mamba.A_log],decode,False
128,mamba,,,,,neg,[[d_head_ssm]],,,[[d_head_ssm]],[127],1,mamba,,1,model.layers.1.mamba,aten.neg.default,[],decode,False
