op_id,block_type,repeat,layers,h1,h2,op_type,input_shape,weight_shape,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
12,attn+FFN,15,"0-4,6-10,12-16",post_attention_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[11],0,post_attention_layernorm,,1,model.layers.0.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.0.post_attention_layernorm.weight],prefill,False
13,attn+FFN,15,"0-4,6-10,12-16",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[1, 12]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
14,attn+FFN,15,"0-4,6-10,12-16",pre_feedforward_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[13],0,pre_feedforward_layernorm,,1,model.layers.0.pre_feedforward_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.0.pre_feedforward_layernorm.weight],prefill,False
15,attn+FFN,15,"0-4,6-10,12-16",mlp,gate_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[14],0,mlp,gate_proj,2,model.layers.0.mlp.gate_proj,aten.mm.default,[model.layers.0.mlp.gate_proj.weight],prefill,False
16,attn+FFN,15,"0-4,6-10,12-16",mlp,act_fn,gelu,"[[B, T, d_ff]]",,"[[B, T, d_ff]]",[15],0,mlp,act_fn,2,model.layers.0.mlp.act_fn,aten.gelu.default,[],prefill,False
17,attn+FFN,15,"0-4,6-10,12-16",mlp,up_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[14],0,mlp,up_proj,2,model.layers.0.mlp.up_proj,aten.mm.default,[model.layers.0.mlp.up_proj.weight],prefill,False
18,attn+FFN,15,"0-4,6-10,12-16",mlp,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,"[[B, T, d_ff]]","[16, 17]",0,mlp,,1,model.layers.0.mlp,aten.mul.Tensor,[],prefill,False
19,attn+FFN,15,"0-4,6-10,12-16",mlp,down_proj,matmul,"[[T, d_ff], [d_ff, d_model]]","[d_model, d_ff]","[[T, d_model]]",[18],0,mlp,down_proj,2,model.layers.0.mlp.down_proj,aten.mm.default,[model.layers.0.mlp.down_proj.weight],prefill,False
20,attn+FFN,15,"0-4,6-10,12-16",post_feedforward_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[19],0,post_feedforward_layernorm,,1,model.layers.0.post_feedforward_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.0.post_feedforward_layernorm.weight],prefill,False
21,attn+FFN,15,"0-4,6-10,12-16",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[13, 20]",0,,,0,model.layers.0,aten.add.Tensor,[],prefill,False
22,attn+FFN,3,"5,11,17",input_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[21],5,input_layernorm,,1,model.layers.5.input_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.5.input_layernorm.weight],prefill,False
23,attn+FFN,3,"5,11,17",self_attn,q_proj,matmul,"[[T, d_model], [d_model, n_h*d_head]]","[n_h*d_head, d_model]","[[T, n_h*d_head]]",[22],5,self_attn,q_proj,2,model.layers.5.self_attn.q_proj,aten.mm.default,[model.layers.5.self_attn.q_proj.weight],prefill,False
24,attn+FFN,3,"5,11,17",self_attn,k_proj,matmul,"[[T, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]","[[T, n_kv*d_head]]",[22],5,self_attn,k_proj,2,model.layers.5.self_attn.k_proj,aten.mm.default,[model.layers.5.self_attn.k_proj.weight],prefill,False
25,attn+FFN,3,"5,11,17",self_attn,v_proj,matmul,"[[T, d_model], [d_model, n_kv*d_head]]","[n_kv*d_head, d_model]","[[T, n_kv*d_head]]",[22],5,self_attn,v_proj,2,model.layers.5.self_attn.v_proj,aten.mm.default,[model.layers.5.self_attn.v_proj.weight],prefill,False
26,attn+FFN,3,"5,11,17",self_attn,q_norm,rmsnorm,"[[B, n_h/n_kv, T, n_kv*d_head]]",[n_kv*d_head],"[[B, n_h/n_kv, T, n_kv*d_head]]",[23],5,self_attn,q_norm,2,model.layers.5.self_attn.q_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.5.self_attn.q_norm.weight],prefill,False
27,attn+FFN,3,"5,11,17",self_attn,k_norm,rmsnorm,"[[B, B, T, n_kv*d_head]]",[n_kv*d_head],"[[B, B, T, n_kv*d_head]]",[24],5,self_attn,k_norm,2,model.layers.5.self_attn.k_norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.5.self_attn.k_norm.weight],prefill,False
28,attn+FFN,3,"5,11,17",self_attn,,batched_matmul,"[[n_h/n_kv, T, n_kv*d_head], [n_h/n_kv, n_kv*d_head, T]]",,"[[n_h/n_kv, T, T]]","[26, 27]",5,self_attn,,1,model.layers.5.self_attn,aten.bmm.default,[],prefill,False
29,attn+FFN,3,"5,11,17",self_attn,,softmax,"[[B, n_h/n_kv, T, T]]",,"[[B, n_h/n_kv, T, T]]",[28],5,self_attn,,1,model.layers.5.self_attn,aten._safe_softmax.default,[],prefill,False
30,attn+FFN,3,"5,11,17",self_attn,,batched_matmul,"[[n_h/n_kv, T, T], [n_h/n_kv, T, n_kv*d_head]]",,"[[n_h/n_kv, T, n_kv*d_head]]","[25, 29]",5,self_attn,,1,model.layers.5.self_attn,aten.bmm.default,[],prefill,False
31,attn+FFN,3,"5,11,17",self_attn,o_proj,matmul,"[[T, n_h*d_head], [n_h*d_head, d_model]]","[d_model, n_h*d_head]","[[T, d_model]]",[30],5,self_attn,o_proj,2,model.layers.5.self_attn.o_proj,aten.mm.default,[model.layers.5.self_attn.o_proj.weight],prefill,False
32,attn+FFN,3,"5,11,17",post_attention_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[31],5,post_attention_layernorm,,1,model.layers.5.post_attention_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.5.post_attention_layernorm.weight],prefill,False
33,attn+FFN,3,"5,11,17",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[21, 32]",5,,,0,model.layers.5,aten.add.Tensor,[],prefill,False
34,attn+FFN,3,"5,11,17",pre_feedforward_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[33],5,pre_feedforward_layernorm,,1,model.layers.5.pre_feedforward_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.5.pre_feedforward_layernorm.weight],prefill,False
35,attn+FFN,3,"5,11,17",mlp,gate_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[34],5,mlp,gate_proj,2,model.layers.5.mlp.gate_proj,aten.mm.default,[model.layers.5.mlp.gate_proj.weight],prefill,False
36,attn+FFN,3,"5,11,17",mlp,act_fn,gelu,"[[B, T, d_ff]]",,"[[B, T, d_ff]]",[35],5,mlp,act_fn,2,model.layers.5.mlp.act_fn,aten.gelu.default,[],prefill,False
37,attn+FFN,3,"5,11,17",mlp,up_proj,matmul,"[[T, d_model], [d_model, d_ff]]","[d_ff, d_model]","[[T, d_ff]]",[34],5,mlp,up_proj,2,model.layers.5.mlp.up_proj,aten.mm.default,[model.layers.5.mlp.up_proj.weight],prefill,False
38,attn+FFN,3,"5,11,17",mlp,,elementwise_mul,"[[B, T, d_ff], [B, T, d_ff]]",,"[[B, T, d_ff]]","[36, 37]",5,mlp,,1,model.layers.5.mlp,aten.mul.Tensor,[],prefill,False
39,attn+FFN,3,"5,11,17",mlp,down_proj,matmul,"[[T, d_ff], [d_ff, d_model]]","[d_model, d_ff]","[[T, d_model]]",[38],5,mlp,down_proj,2,model.layers.5.mlp.down_proj,aten.mm.default,[model.layers.5.mlp.down_proj.weight],prefill,False
40,attn+FFN,3,"5,11,17",post_feedforward_layernorm,,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[39],5,post_feedforward_layernorm,,1,model.layers.5.post_feedforward_layernorm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.layers.5.post_feedforward_layernorm.weight],prefill,False
41,attn+FFN,3,"5,11,17",,,elementwise_add,"[[B, T, d_model], [B, T, d_model]]",,"[[B, T, d_model]]","[33, 40]",5,,,0,model.layers.5,aten.add.Tensor,[],prefill,False
42,norm,1,,model,norm,rmsnorm,"[[B, T, d_model]]",[d_model],"[[B, T, d_model]]",[41],,other,,2,model.norm,_to_copy+pow+mean+add+rsqrt+mul+_to_copy+add+mul+_to_copy,[model.norm.weight],prefill,False
43,head,1,,lm_head,,matmul,"[[T, d_model], [d_model, V]]","[V, d_model]","[[T, V]]",[42],,other,,1,lm_head,aten.mm.default,[model.embed_tokens.weight],prefill,False
